Point: ,121-6220,,,
Location: ,"33.757719, -84.37737",,,
Road-Type: ,Local,,,
Day: ,Tue,Wed,Thu,Fri
Date:,2023-09-12,2023-09-13,2023-09-14,2023-09-15
0:00:00 (V),,92,104,
1:00:00 (V),,62,72,
2:00:00 (V),,31,37,
3:00:00 (V),,22,29,
4:00:00 (V),,18,25,
5:00:00 (V),,41,37,
6:00:00 (V),,177,158,
7:00:00 (V),,756,490,
8:00:00 (V),,678,597,
9:00:00 (V),,583,419,
10:00:00 (V),,302,352,
11:00:00 (V),,381,303,
12:00:00 (V),,376,382,
13:00:00 (V),,419,368,
14:00:00 (V),,377,436,
15:00:00 (V),,370,462,
16:00:00 (V),372,417,,
17:00:00 (V),478,459,,
18:00:00 (V),344,374,,
19:00:00(V),375,389,,
20:00:00 (V),285,415,,
21:00:00 (V),255,336,,
22:00:00 (V),188,263,,
23:00:00 (V),131,138,,
,,,,
12:00:00 (C),,,,
1:00:00 (C),,,,
2:00:00 (C),,,,
3:00:00 (C),,,,
4:00:00 (C),,,,
5:00:00 (C),,,,
6:00:00 (C),,,,
7:00:00 (C),,,,
8:00:00 (C),,,,
9:00:00 (C),,,,
10:00:00 (C),,,,
11:00:00 (C),,,,
12:00:00 (C),,,,
13:00:00 (C),,,,
14:00:00 (C),,,,
15:00:00 (C),,,,
16:00:00 (C),,,,
17:00:00 (C),,,,
18:00:00 (C),,,,
19:00:00(C),,,,
20:00:00 (C),,,,
21:00:00 (C),,,,
22:00:00 (C),,,,
23:00:00 (C),,,,
