Point: ,121-8473,,
Location: ,"33.751463, -84.381264",,
Road-Type: ,Local,,
Day: ,Mon,Tue,Wed
Date:,2023-12-04,2023-12-05,2023-12-06
0:00:00 (V),,19,18
1:00:00 (V),,14,15
2:00:00 (V),,18,13
3:00:00 (V),,9,13
4:00:00 (V),,45,36
5:00:00 (V),,100,124
6:00:00 (V),,645,604
7:00:00 (V),,286,313
8:00:00 (V),,237,279
9:00:00 (V),,275,292
10:00:00 (V),,248,263
11:00:00 (V),,192,201
12:00:00 (V),,169,178
13:00:00 (V),,210,202
14:00:00 (V),,227,238
15:00:00 (V),,185,202
16:00:00 (V),,147,167
17:00:00 (V),,207,184
18:00:00 (V),,392,392
19:00:00(V),,96,104
20:00:00 (V),57,78,
21:00:00 (V),48,55,
22:00:00 (V),60,73,
23:00:00 (V),34,30,
,,,
12:00:00 (C),,,
1:00:00 (C),,,
2:00:00 (C),,,
3:00:00 (C),,,
4:00:00 (C),,,
5:00:00 (C),,,
6:00:00 (C),,,
7:00:00 (C),,,
8:00:00 (C),,,
9:00:00 (C),,,
10:00:00 (C),,,
11:00:00 (C),,,
12:00:00 (C),,,
13:00:00 (C),,,
14:00:00 (C),,,
15:00:00 (C),,,
16:00:00 (C),,,
17:00:00 (C),,,
18:00:00 (C),,,
19:00:00(C),,,
20:00:00 (C),,,
21:00:00 (C),,,
22:00:00 (C),,,
23:00:00 (C),,,
