Point: ,121-5627,,,,,
Location: ,"33.747162, -84.390725",,,,,
Road-Type: ,Minor Arterial,,,,,
Day: ,Mon,Tue,Wed,Tue,Wed,Thu
Date:,2023-02-13,2023-02-14,2023-02-15,2025-12-02,2025-12-03,2025-12-04
0:00:00 (V),,149,233,,122,162
1:00:00 (V),,71,109,,68,93
2:00:00 (V),,34,70,,35,46
3:00:00 (V),,28,52,,36,72
4:00:00 (V),,34,54,,60,91
5:00:00 (V),,75,90,,99,114
6:00:00 (V),,218,205,,210,227
7:00:00 (V),,475,532,,445,453
8:00:00 (V),,620,610,,571,569
9:00:00 (V),,571,665,,580,597
10:00:00 (V),,742,757,,734,608
11:00:00 (V),,910,927,796,769,
12:00:00 (V),,1185,1097,841,935,
13:00:00 (V),1065,1176,,858,949,
14:00:00 (V),1433,1749,,1305,1580,
15:00:00 (V),2191,2368,,1686,2051,
16:00:00 (V),2399,2535,,1952,2292,
17:00:00 (V),2723,2632,,2346,2442,
18:00:00 (V),2205,2048,,1751,1780,
19:00:00(V),1127,1252,,985,1051,
20:00:00 (V),596,752,,596,692,
21:00:00 (V),374,424,,361,629,
22:00:00 (V),234,579,,421,768,
23:00:00 (V),223,996,,298,354,
,,,,,,
12:00:00 (C),,,,,,
1:00:00 (C),,,,,,
2:00:00 (C),,,,,,
3:00:00 (C),,,,,,
4:00:00 (C),,,,,,
5:00:00 (C),,,,,,
6:00:00 (C),,,,,,
7:00:00 (C),,,,,,
8:00:00 (C),,,,,,
9:00:00 (C),,,,,,
10:00:00 (C),,,,,,
11:00:00 (C),,,,,,
12:00:00 (C),,,,,,
13:00:00 (C),,,,,,
14:00:00 (C),,,,,,
15:00:00 (C),,,,,,
16:00:00 (C),,,,,,
17:00:00 (C),,,,,,
18:00:00 (C),,,,,,
19:00:00(C),,,,,,
20:00:00 (C),,,,,,
21:00:00 (C),,,,,,
22:00:00 (C),,,,,,
23:00:00 (C),,,,,,
