Point: ,121-5220,,,,,
Location: ,"33.743066, -84.408849",,,,,
Road-Type: ,Minor Arterial,,,,,
Day: ,Wed,Thu,Fri,Tue,Wed,Thu
Date:,2023-02-15,2023-02-16,2023-02-17,2025-04-08,2025-04-09,2025-04-10
0:00:00 (V),,60,57,,57,76
1:00:00 (V),,37,36,,54,44
2:00:00 (V),,18,18,,35,30
3:00:00 (V),25,22,,,24,28
4:00:00 (V),24,30,,,31,50
5:00:00 (V),61,62,,,54,79
6:00:00 (V),152,149,,,179,184
7:00:00 (V),490,493,,,558,522
8:00:00 (V),676,593,,,582,549
9:00:00 (V),391,340,,,273,292
10:00:00 (V),251,308,,,294,254
11:00:00 (V),278,328,,,275,279
12:00:00 (V),290,428,,,307,395
13:00:00 (V),256,448,,,324,416
14:00:00 (V),302,586,,,368,482
15:00:00 (V),358,485,,,557,660
16:00:00 (V),434,455,,,737,786
17:00:00 (V),455,492,,,766,825
18:00:00 (V),390,330,,,649,687
19:00:00(V),313,228,,,282,325
20:00:00 (V),159,163,,,211,236
21:00:00 (V),120,133,,141,182,
22:00:00 (V),197,112,,127,125,
23:00:00 (V),92,71,,88,122,
,,,,,,
12:00:00 (C),,,,,,
1:00:00 (C),,,,,,
2:00:00 (C),,,,,,
3:00:00 (C),,,,,,
4:00:00 (C),,,,,,
5:00:00 (C),,,,,,
6:00:00 (C),,,,,,
7:00:00 (C),,,,,,
8:00:00 (C),,,,,,
9:00:00 (C),,,,,,
10:00:00 (C),,,,,,
11:00:00 (C),,,,,,
12:00:00 (C),,,,,,
13:00:00 (C),,,,,,
14:00:00 (C),,,,,,
15:00:00 (C),,,,,,
16:00:00 (C),,,,,,
17:00:00 (C),,,,,,
18:00:00 (C),,,,,,
19:00:00(C),,,,,,
20:00:00 (C),,,,,,
21:00:00 (C),,,,,,
22:00:00 (C),,,,,,
23:00:00 (C),,,,,,
