Point: ,121-5613,,
Location: ,"33.7628192602218, -84.3969623548875",,
Road-Type: ,Major Collector,,
Day: ,Mon,Tue,Wed
Date:,2025-07-14,2025-07-15,2025-07-16
0:00:00 (V),,1063,137
1:00:00 (V),,578,89
2:00:00 (V),,214,64
3:00:00 (V),,123,67
4:00:00 (V),,127,100
5:00:00 (V),,214,196
6:00:00 (V),,457,411
7:00:00 (V),,749,738
8:00:00 (V),,1000,1172
9:00:00 (V),,946,1008
10:00:00 (V),,881,770
11:00:00 (V),,802,675
12:00:00 (V),,845,776
13:00:00 (V),,813,694
14:00:00 (V),,903,863
15:00:00 (V),,1241,1181
16:00:00 (V),,1465,1398
17:00:00 (V),,1649,1413
18:00:00 (V),,1062,1223
19:00:00(V),,679,753
20:00:00 (V),,539,517
21:00:00 (V),514,522,
22:00:00 (V),595,372,
23:00:00 (V),794,235,
,,,
12:00:00 (C),,,
1:00:00 (C),,,
2:00:00 (C),,,
3:00:00 (C),,,
4:00:00 (C),,,
5:00:00 (C),,,
6:00:00 (C),,,
7:00:00 (C),,,
8:00:00 (C),,,
9:00:00 (C),,,
10:00:00 (C),,,
11:00:00 (C),,,
12:00:00 (C),,,
13:00:00 (C),,,
14:00:00 (C),,,
15:00:00 (C),,,
16:00:00 (C),,,
17:00:00 (C),,,
18:00:00 (C),,,
19:00:00(C),,,
20:00:00 (C),,,
21:00:00 (C),,,
22:00:00 (C),,,
23:00:00 (C),,,
