Point: ,121-5610,,,,,
Location: ,"33.7212254004704, -84.3919423986451",,,,,
Road-Type: ,Major Collector,,,,,
Day: ,Mon,Tue,Wed,Mon,Tue,Wed
Date:,2023-02-13,2023-02-14,2023-02-15,2025-03-24,2025-03-25,2025-03-26
0:00:00 (V),,220,273,,266,272
1:00:00 (V),,154,200,,154,198
2:00:00 (V),,94,138,,138,125
3:00:00 (V),,97,93,,142,138
4:00:00 (V),,130,128,,178,157
5:00:00 (V),,247,286,,326,338
6:00:00 (V),,476,565,,538,545
7:00:00 (V),,857,816,,900,1018
8:00:00 (V),,1016,1079,,1193,1260
9:00:00 (V),,799,799,,791,805
10:00:00 (V),,784,777,,762,697
11:00:00 (V),,846,952,,859,908
12:00:00 (V),883,917,,,979,938
13:00:00 (V),866,932,,,1047,920
14:00:00 (V),860,877,,,1069,1014
15:00:00 (V),1035,1084,,,1134,1198
16:00:00 (V),1103,1170,,,1202,1248
17:00:00 (V),1117,1256,,,1248,1360
18:00:00 (V),935,953,,,1007,1125
19:00:00(V),746,796,,829,850,
20:00:00 (V),588,678,,706,811,
21:00:00 (V),472,560,,611,661,
22:00:00 (V),391,445,,482,524,
23:00:00 (V),325,355,,354,359,
,,,,,,
12:00:00 (C),,,,,,
1:00:00 (C),,,,,,
2:00:00 (C),,,,,,
3:00:00 (C),,,,,,
4:00:00 (C),,,,,,
5:00:00 (C),,,,,,
6:00:00 (C),,,,,,
7:00:00 (C),,,,,,
8:00:00 (C),,,,,,
9:00:00 (C),,,,,,
10:00:00 (C),,,,,,
11:00:00 (C),,,,,,
12:00:00 (C),,,,,,
13:00:00 (C),,,,,,
14:00:00 (C),,,,,,
15:00:00 (C),,,,,,
16:00:00 (C),,,,,,
17:00:00 (C),,,,,,
18:00:00 (C),,,,,,
19:00:00(C),,,,,,
20:00:00 (C),,,,,,
21:00:00 (C),,,,,,
22:00:00 (C),,,,,,
23:00:00 (C),,,,,,
