Point: ,121-6214,,,,,
Location: ,"33.7490938124916, -84.4059993129662",,,,,
Road-Type: ,Major Collector,,,,,
Day: ,Tue,Wed,Thu,Tue,Wed,Thu
Date:,2023-09-12,2023-09-13,2023-09-14,2023-12-05,2023-12-06,2023-12-07
0:00:00 (V),,69,72,,53,69
1:00:00 (V),,46,33,,56,49
2:00:00 (V),,17,27,,40,28
3:00:00 (V),,19,32,,20,27
4:00:00 (V),,14,40,,18,15
5:00:00 (V),,27,43,,25,40
6:00:00 (V),,82,82,,64,54
7:00:00 (V),,219,198,,168,153
8:00:00 (V),,339,269,,204,201
9:00:00 (V),,364,258,,213,161
10:00:00 (V),,311,225,,178,154
11:00:00 (V),,262,227,,202,185
12:00:00 (V),290,251,,,229,220
13:00:00 (V),317,330,,237,244,
14:00:00 (V),303,333,,252,266,
15:00:00 (V),377,312,,311,326,
16:00:00 (V),460,364,,288,386,
17:00:00 (V),527,391,,379,323,
18:00:00 (V),484,254,,288,276,
19:00:00(V),384,244,,195,187,
20:00:00 (V),254,220,,151,152,
21:00:00 (V),198,210,,160,164,
22:00:00 (V),396,146,,123,127,
23:00:00 (V),161,117,,95,96,
,,,,,,
12:00:00 (C),,,,,,
1:00:00 (C),,,,,,
2:00:00 (C),,,,,,
3:00:00 (C),,,,,,
4:00:00 (C),,,,,,
5:00:00 (C),,,,,,
6:00:00 (C),,,,,,
7:00:00 (C),,,,,,
8:00:00 (C),,,,,,
9:00:00 (C),,,,,,
10:00:00 (C),,,,,,
11:00:00 (C),,,,,,
12:00:00 (C),,,,,,
13:00:00 (C),,,,,,
14:00:00 (C),,,,,,
15:00:00 (C),,,,,,
16:00:00 (C),,,,,,
17:00:00 (C),,,,,,
18:00:00 (C),,,,,,
19:00:00(C),,,,,,
20:00:00 (C),,,,,,
21:00:00 (C),,,,,,
22:00:00 (C),,,,,,
23:00:00 (C),,,,,,
