Point: ,121-0145,,
Location: ,"33.743861, -84.373382",,
Road-Type: ,Major Collector,,
Day: ,Tue,Wed,Thu
Date:,2023-02-14,2023-02-15,2023-02-16
0:00:00 (V),,13,14
1:00:00 (V),,10,13
2:00:00 (V),,6,3
3:00:00 (V),,3,3
4:00:00 (V),,2,8
5:00:00 (V),,19,10
6:00:00 (V),,54,47
7:00:00 (V),,226,186
8:00:00 (V),,329,316
9:00:00 (V),,251,233
10:00:00 (V),159,155,
11:00:00 (V),200,172,
12:00:00 (V),252,222,
13:00:00 (V),265,213,
14:00:00 (V),263,192,
15:00:00 (V),356,232,
16:00:00 (V),363,287,
17:00:00 (V),433,368,
18:00:00 (V),383,270,
19:00:00(V),208,156,
20:00:00 (V),124,100,
21:00:00 (V),74,77,
22:00:00 (V),53,65,
23:00:00 (V),15,15,
,,,
12:00:00 (C),,1:11:1:0:0:0:0:0:0:0:0:0:0:0:0,0:13:1:0:0:0:0:0:0:0:0:0:0:0:0
1:00:00 (C),,0:9:1:0:0:0:0:0:0:0:0:0:0:0:0,0:11:2:0:0:0:0:0:0:0:0:0:0:0:0
2:00:00 (C),,0:3:3:0:0:0:0:0:0:0:0:0:0:0:0,0:2:0:0:0:1:0:0:0:0:0:0:0:0:0
3:00:00 (C),,0:2:1:0:0:0:0:0:0:0:0:0:0:0:0,0:3:0:0:0:0:0:0:0:0:0:0:0:0:0
4:00:00 (C),,0:2:0:0:0:0:0:0:0:0:0:0:0:0:0,0:5:3:0:0:0:0:0:0:0:0:0:0:0:0
5:00:00 (C),,0:18:1:0:0:0:0:0:0:0:0:0:0:0:0,1:7:2:0:0:0:0:0:0:0:0:0:0:0:0
6:00:00 (C),,0:48:5:0:0:1:0:0:0:0:0:0:0:0:0,0:42:4:0:1:0:0:0:0:0:0:0:0:0:0
7:00:00 (C),,0:196:22:1:4:0:0:2:1:0:0:0:0:0:0,2:153:24:0:4:0:0:2:1:0:0:0:0:0:0
8:00:00 (C),,3:277:43:0:5:0:0:1:0:0:0:0:0:0:0,4:269:40:1:1:0:1:0:0:0:0:0:0:0:0
9:00:00 (C),,1:213:26:0:9:1:0:1:0:0:0:0:0:0:0,3:193:32:1:3:0:0:1:0:0:0:0:0:0:0
10:00:00 (C),3:126:27:0:3:0:0:0:0:0:0:0:0:0:0,1:118:33:0:2:0:1:0:0:0:0:0:0:0:0,
11:00:00 (C),2:155:38:0:4:0:0:1:0:0:0:0:0:0:0,1:135:29:0:4:2:1:0:0:0:0:0:0:0:0,
12:00:00 (C),0:218:28:1:5:0:0:0:0:0:0:0:0:0:0,1:174:34:1:10:1:1:0:0:0:0:0:0:0:0,
13:00:00 (C),5:214:36:3:6:1:0:0:0:0:0:0:0:0:0,2:175:29:0:7:0:0:0:0:0:0:0:0:0:0,
14:00:00 (C),2:216:36:0:6:2:0:1:0:0:0:0:0:0:0,2:145:37:1:7:0:0:0:0:0:0:0:0:0:0,
15:00:00 (C),5:304:42:1:3:1:0:0:0:0:0:0:0:0:0,2:200:20:2:8:0:0:0:0:0:0:0:0:0:0,
16:00:00 (C),3:327:29:0:4:0:0:0:0:0:0:0:0:0:0,0:250:33:1:2:1:0:0:0:0:0:0:0:0:0,
17:00:00 (C),6:383:39:0:4:1:0:0:0:0:0:0:0:0:0,3:322:41:0:2:0:0:0:0:0:0:0:0:0:0,
18:00:00 (C),4:337:36:0:6:0:0:0:0:0:0:0:0:0:0,4:240:22:0:4:0:0:0:0:0:0:0:0:0:0,
19:00:00(C),1:192:14:0:1:0:0:0:0:0:0:0:0:0:0,2:138:12:0:1:3:0:0:0:0:0:0:0:0:0,
20:00:00 (C),3:111:7:1:1:1:0:0:0:0:0:0:0:0:0,0:89:10:0:0:1:0:0:0:0:0:0:0:0:0,
21:00:00 (C),1:67:6:0:0:0:0:0:0:0:0:0:0:0:0,2:67:7:0:1:0:0:0:0:0:0:0:0:0:0,
22:00:00 (C),0:49:2:0:2:0:0:0:0:0:0:0:0:0:0,1:56:7:0:1:0:0:0:0:0:0:0:0:0:0,
23:00:00 (C),0:13:2:0:0:0:0:0:0:0:0:0:0:0:0,0:10:5:0:0:0:0:0:0:0:0:0:0:0:0,
