Point: ,121-5680,,,,,
Location: ,"33.7339800846121, -84.4177245955716",,,,,
Road-Type: ,Major Collector,,,,,
Day: ,Mon,Tue,Wed,Mon,Tue,Wed
Date:,2023-04-10,2023-04-11,2023-04-12,2025-03-10,2025-03-11,2025-03-12
0:00:00 (V),,57,48,,42,23
1:00:00 (V),,28,33,,20,22
2:00:00 (V),,19,20,,22,17
3:00:00 (V),,22,22,,19,20
4:00:00 (V),,17,24,,63,79
5:00:00 (V),,57,51,,124,110
6:00:00 (V),,117,132,,286,279
7:00:00 (V),,271,273,,305,286
8:00:00 (V),,346,350,,311,277
9:00:00 (V),,311,319,,273,272
10:00:00 (V),,313,296,,275,304
11:00:00 (V),,316,329,,319,326
12:00:00 (V),,298,297,,314,350
13:00:00 (V),,322,328,,356,400
14:00:00 (V),,366,378,,446,426
15:00:00 (V),,387,399,,478,508
16:00:00 (V),,484,443,,471,464
17:00:00 (V),,448,558,,513,418
18:00:00 (V),,524,439,,404,371
19:00:00(V),,310,370,,293,239
20:00:00 (V),,242,242,139,196,
21:00:00 (V),155,192,,88,188,
22:00:00 (V),98,112,,85,80,
23:00:00 (V),65,71,,54,55,
,,,,,,
12:00:00 (C),,0:53:4:0:0:0:0:0:0:0:0:0:0:0:0,0:43:5:0:0:0:0:0:0:0:0:0:0:0:0,,0:40:2:0:0:0:0:0:0:0:0:0:0:0:0,0:21:1:0:1:0:0:0:0:0:0:0:0:0:0
1:00:00 (C),,0:27:1:0:0:0:0:0:0:0:0:0:0:0:0,0:32:1:0:0:0:0:0:0:0:0:0:0:0:0,,0:17:2:0:1:0:0:0:0:0:0:0:0:0:0,0:22:0:0:0:0:0:0:0:0:0:0:0:0:0
2:00:00 (C),,0:18:1:0:0:0:0:0:0:0:0:0:0:0:0,0:19:1:0:0:0:0:0:0:0:0:0:0:0:0,,0:17:1:1:3:0:0:0:0:0:0:0:0:0:0,0:15:2:0:0:0:0:0:0:0:0:0:0:0:0
