Point: ,121-6116,,
Location: ,"33.75027787, -84.39355319",,
Road-Type: ,Major Collector,,
Day: ,Mon,Tue,Wed
Date:,2022-10-17,2022-10-18,2022-10-19
0:00:00 (V),,59,74
1:00:00 (V),,47,54
2:00:00 (V),,43,40
3:00:00 (V),,34,30
4:00:00 (V),,40,42
5:00:00 (V),,62,80
6:00:00 (V),,177,180
7:00:00 (V),,393,440
8:00:00 (V),,756,733
9:00:00 (V),,484,507
10:00:00 (V),,399,413
11:00:00 (V),,371,403
12:00:00 (V),,411,411
13:00:00 (V),,358,375
14:00:00 (V),,360,408
15:00:00 (V),,501,510
16:00:00 (V),522,613,
17:00:00 (V),560,623,
18:00:00 (V),338,371,
19:00:00(V),203,252,
20:00:00 (V),156,178,
21:00:00 (V),117,144,
22:00:00 (V),108,137,
23:00:00 (V),97,107,
,,,
12:00:00 (C),,,
1:00:00 (C),,,
2:00:00 (C),,,
3:00:00 (C),,,
4:00:00 (C),,,
5:00:00 (C),,,
6:00:00 (C),,,
7:00:00 (C),,,
8:00:00 (C),,,
9:00:00 (C),,,
10:00:00 (C),,,
11:00:00 (C),,,
12:00:00 (C),,,
13:00:00 (C),,,
14:00:00 (C),,,
15:00:00 (C),,,
16:00:00 (C),,,
17:00:00 (C),,,
18:00:00 (C),,,
19:00:00(C),,,
20:00:00 (C),,,
21:00:00 (C),,,
22:00:00 (C),,,
23:00:00 (C),,,
