Point: ,121-7245,,,,,
Location: ,"33.738976, -84.423362",,,,,
Road-Type: ,Major Collector,,,,,
Day: ,Mon,Tue,Wed,Mon,Tue,Wed
Date:,2023-02-13,2023-02-14,2023-02-15,2025-03-10,2025-03-11,2025-03-12
0:00:00 (V),,28,42,,40,25
1:00:00 (V),,20,16,,11,13
2:00:00 (V),,8,9,,13,18
3:00:00 (V),,10,7,,11,17
4:00:00 (V),,12,13,,22,12
5:00:00 (V),,21,21,,43,37
6:00:00 (V),,48,58,,134,135
7:00:00 (V),,148,145,,182,224
8:00:00 (V),,217,230,,148,143
9:00:00 (V),,146,152,,104,109
10:00:00 (V),,151,133,,164,158
11:00:00 (V),,153,164,,176,177
12:00:00 (V),169,206,,,212,165
13:00:00 (V),204,190,,,246,228
14:00:00 (V),225,234,,,233,280
15:00:00 (V),256,288,,,322,361
16:00:00 (V),287,305,,,317,303
17:00:00 (V),290,308,,,218,236
18:00:00 (V),213,223,,,161,171
19:00:00(V),180,158,,120,132,
20:00:00 (V),119,113,,79,82,
21:00:00 (V),87,72,,53,75,
22:00:00 (V),51,50,,50,41,
23:00:00 (V),57,44,,30,35,
,,,,,,
12:00:00 (C),,0:25:3:0:0:0:0:0:0:0:0:0:0:0:0,0:38:4:0:0:0:0:0:0:0:0:0:0:0:0,,,
1:00:00 (C),,0:18:2:0:0:0:0:0:0:0:0:0:0:0:0,0:14:2:0:0:0:0:0:0:0:0:0:0:0:0,,,
2:00:00 (C),,0:7:1:0:0:0:0:0:0:0:0:0:0:0:0,0:9:0:0:0:0:0:0:0:0:0:0:0:0:0,,,
3:00:00 (C),,0:7:3:0:0:0:0:0:0:0:0:0:0:0:0,0:5:1:0:1:0:0:0:0:0:0:0:0:0:0,,,
4:00:00 (C),,0:8:4:0:0:0:0:0:0:0:0:0:0:0:0,0:12:1:0:0:0:0:0:0:0:0:0:0:0:0,,,
5:00:00 (C),,0:17:3:0:1:0:0:0:0:0:0:0:0:0:0,1:17:1:0:2:0:0:0:0:0:0:0:0:0:0,,,
6:00:00 (C),,0:44:4:0:0:0:0:0:0:0:0:0:0:0:0,0:52:4:0:0:1:0:1:0:0:0:0:0:0:0,,,
7:00:00 (C),,0:133:13:1:1:0:0:0:0:0:0:0:0:0:0,0:125:17:1:1:0:0:1:0:0:0:0:0:0:0,,,
8:00:00 (C),,0:195:14:4:2:0:0:2:0:0:0:0:0:0:0,1:202:17:4:5:1:0:0:0:0:0:0:0:0:0,,,
9:00:00 (C),,3:115:26:0:2:0:0:0:0:0:0:0:0:0:0,0:125:17:1:8:0:0:1:0:0:0:0:0:0:0,,,
10:00:00 (C),,0:127:18:2:1:1:0:1:1:0:0:0:0:0:0,0:108:22:1:2:0:0:0:0:0:0:0:0:0:0,,,
11:00:00 (C),,3:120:24:1:5:0:0:0:0:0:0:0:0:0:0,1:126:27:0:6:3:0:1:0:0:0:0:0:0:0,,,
12:00:00 (C),0:138:26:2:3:0:0:0:0:0:0:0:0:0:0,0:158:39:2:4:2:0:1:0:0:0:0:0:0:0,,,,
13:00:00 (C),1:171:27:0:4:1:0:0:0:0:0:0:0:0:0,2:155:24:1:8:0:0:0:0:0:0:0:0:0:0,,,,
14:00:00 (C),3:192:25:0:5:0:0:0:0:0:0:0:0:0:0,3:193:32:0:5:0:0:1:0:0:0:0:0:0:0,,,,
15:00:00 (C),0:221:29:2:4:0:0:0:0:0:0:0:0:0:0,2:250:32:2:2:0:0:0:0:0:0:0:0:0:0,,,,
16:00:00 (C),3:240:29:7:8:0:0:0:0:0:0:0:0:0:0,5:252:38:4:3:2:0:1:0:0:0:0:0:0:0,,,,
17:00:00 (C),1:262:23:2:1:1:0:0:0:0:0:0:0:0:0,1:264:32:1:9:1:0:0:0:0:0:0:0:0:0,,,,
18:00:00 (C),6:191:10:0:5:0:0:0:1:0:0:0:0:0:0,1:197:20:0:4:0:0:1:0:0:0:0:0:0:0,,,,
19:00:00(C),0:153:25:0:2:0:0:0:0:0:0:0:0:0:0,1:146:11:0:0:0:0:0:0:0:0:0:0:0:0,,,,
20:00:00 (C),0:109:10:0:0:0:0:0:0:0:0:0:0:0:0,2:98:11:1:1:0:0:0:0:0:0:0:0:0:0,,,,
21:00:00 (C),0:82:5:0:0:0:0:0:0:0:0:0:0:0:0,0:65:5:1:1:0:0:0:0:0:0:0:0:0:0,,,,
22:00:00 (C),0:47:2:0:2:0:0:0:0:0:0:0:0:0:0,0:47:3:0:0:0:0:0:0:0:0:0:0:0:0,,,,
23:00:00 (C),0:52:4:0:0:1:0:0:0:0:0:0:0:0:0,1:41:2:0:0:0:0:0:0:0:0:0:0:0:0,,,,
