Point: ,121-6186,,
Location: ,"33.72473, -84.378556",,
Road-Type: ,Major Collector,,
Day: ,Mon,Tue,Wed
Date:,2025-03-03,2025-03-04,2025-03-05
0:00:00 (V),,13,18
1:00:00 (V),,7,13
2:00:00 (V),,6,4
3:00:00 (V),,6,5
4:00:00 (V),,10,3
5:00:00 (V),,21,16
6:00:00 (V),,60,60
7:00:00 (V),,233,212
8:00:00 (V),,311,273
9:00:00 (V),,189,124
10:00:00 (V),,183,94
11:00:00 (V),,150,98
12:00:00 (V),,160,71
13:00:00 (V),,178,113
14:00:00 (V),,174,143
15:00:00 (V),178,195,
16:00:00 (V),251,238,
17:00:00 (V),323,254,
18:00:00 (V),212,159,
19:00:00(V),105,152,
20:00:00 (V),68,84,
21:00:00 (V),47,69,
22:00:00 (V),37,40,
23:00:00 (V),18,25,
,,,
12:00:00 (C),,0:12:0:1:0:0:0:0:0:0:0:0:0:0:0,0:16:2:0:0:0:0:0:0:0:0:0:0:0:0
1:00:00 (C),,0:6:1:0:0:0:0:0:0:0:0:0:0:0:0,0:11:2:0:0:0:0:0:0:0:0:0:0:0:0
2:00:00 (C),,0:6:0:0:0:0:0:0:0:0:0:0:0:0:0,0:4:0:0:0:0:0:0:0:0:0:0:0:0:0
3:00:00 (C),,0:5:1:0:0:0:0:0:0:0:0:0:0:0:0,0:4:1:0:0:0:0:0:0:0:0:0:0:0:0
4:00:00 (C),,0:7:2:1:0:0:0:0:0:0:0:0:0:0:0,0:3:0:0:0:0:0:0:0:0:0:0:0:0:0
5:00:00 (C),,0:14:1:4:2:0:0:0:0:0:0:0:0:0:0,0:11:3:2:0:0:0:0:0:0:0:0:0:0:0
6:00:00 (C),,1:43:9:3:3:1:0:0:0:0:0:0:0:0:0,0:32:18:7:3:0:0:0:0:0:0:0:0:0:0
7:00:00 (C),,0:193:22:7:9:2:0:0:0:0:0:0:0:0:0,2:157:38:4:8:1:0:1:1:0:0:0:0:0:0
8:00:00 (C),,0:238:47:10:7:7:0:0:1:0:0:0:1:0:0,0:205:40:11:11:5:0:0:1:0:0:0:0:0:0
9:00:00 (C),,1:149:25:4:3:7:0:0:0:0:0:0:0:0:0,0:92:24:2:5:0:0:1:0:0:0:0:0:0:0
10:00:00 (C),,1:148:26:1:5:0:0:0:2:0:0:0:0:0:0,0:61:18:5:10:0:0:0:0:0:0:0:0:0:0
11:00:00 (C),,3:114:22:5:4:1:0:1:0:0:0:0:0:0:0,0:62:23:6:7:0:0:0:0:0:0:0:0:0:0
12:00:00 (C),,1:109:37:5:5:2:0:1:0:0:0:0:0:0:0,0:43:17:5:4:1:0:1:0:0:0:0:0:0:0
13:00:00 (C),,3:135:27:4:7:1:0:1:0:0:0:0:0:0:0,1:79:20:3:8:2:0:0:0:0:0:0:0:0:0
14:00:00 (C),,0:127:29:4:9:3:0:0:2:0:0:0:0:0:0,1:87:28:11:13:2:0:0:1:0:0:0:0:0:0
15:00:00 (C),3:133:29:5:8:0:0:0:0:0:0:0:0:0:0,1:154:26:6:7:1:0:0:0:0:0:0:0:0:0,
16:00:00 (C),2:191:43:6:7:0:0:2:0:0:0:0:0:0:0,5:186:33:8:2:0:0:3:1:0:0:0:0:0:0,
17:00:00 (C),3:263:43:7:5:0:2:0:0:0:0:0:0:0:0,7:210:27:4:6:0:0:0:0:0:0:0:0:0:0,
18:00:00 (C),2:164:34:8:4:0:0:0:0:0:0:0:0:0:0,1:129:17:6:6:0:0:0:0:0:0:0:0:0:0,
19:00:00(C),0:83:15:5:1:0:0:0:1:0:0:0:0:0:0,2:120:27:1:2:0:0:0:0:0:0:0:0:0:0,
20:00:00 (C),0:53:5:4:5:1:0:0:0:0:0:0:0:0:0,1:72:7:2:1:1:0:0:0:0:0:0:0:0:0,
21:00:00 (C),0:36:7:4:0:0:0:0:0:0:0:0:0:0:0,0:60:8:1:0:0:0:0:0:0:0:0:0:0:0,
22:00:00 (C),0:29:2:4:1:1:0:0:0:0:0:0:0:0:0,1:33:4:2:0:0:0:0:0:0:0:0:0:0:0,
23:00:00 (C),0:12:3:3:0:0:0:0:0:0:0:0:0:0:0,1:20:3:1:0:0:0:0:0:0:0:0:0:0:0,
