Point: ,121-6106,,,,,
Location: ,"33.772011, -84.372796",,,,,
Road-Type: ,Major Collector,,,,,
Day: ,Mon,Tue,Wed,Mon,Tue,Wed
Date:,2022-08-29,2022-08-30,2022-08-31,2025-06-02,2025-06-03,2025-06-04
0:00:00 (V),,17,25,,51,74
1:00:00 (V),,10,23,,30,43
2:00:00 (V),,6,8,,10,14
3:00:00 (V),,5,4,,10,14
4:00:00 (V),,4,11,,11,9
5:00:00 (V),,12,6,,16,20
6:00:00 (V),,19,19,,44,42
7:00:00 (V),,91,90,,114,113
8:00:00 (V),,175,212,,159,181
9:00:00 (V),,98,115,,126,164
10:00:00 (V),,87,73,,157,160
11:00:00 (V),,123,114,,220,135
12:00:00 (V),,183,156,224,259,
13:00:00 (V),,147,234,224,270,
14:00:00 (V),,184,207,213,242,
15:00:00 (V),,182,188,247,263,
16:00:00 (V),,200,185,299,317,
17:00:00 (V),124,147,,360,409,
18:00:00 (V),198,189,,226,291,
19:00:00(V),188,196,,202,183,
20:00:00 (V),108,113,,138,163,
21:00:00 (V),100,83,,132,145,
22:00:00 (V),60,62,,100,112,
23:00:00 (V),46,61,,61,78,
,,,,,,
12:00:00 (C),,,,,1:46:4:0:0:0:0:0:0:0:0:0:0:0:0,1:66:6:0:0:1:0:0:0:0:0:0:0:0:0
1:00:00 (C),,,,,0:30:0:0:0:0:0:0:0:0:0:0:0:0:0,1:41:1:0:0:0:0:0:0:0:0:0:0:0:0
2:00:00 (C),,,,,0:9:1:0:0:0:0:0:0:0:0:0:0:0:0,0:11:3:0:0:0:0:0:0:0:0:0:0:0:0
3:00:00 (C),,,,,0:10:0:0:0:0:0:0:0:0:0:0:0:0:0,0:13:1:0:0:0:0:0:0:0:0:0:0:0:0
4:00:00 (C),,,,,0:8:1:0:0:2:0:0:0:0:0:0:0:0:0,1:7:0:0:0:1:0:0:0:0:0:0:0:0:0
5:00:00 (C),,,,,1:13:1:0:1:0:0:0:0:0:0:0:0:0:0,0:19:0:0:1:0:0:0:0:0:0:0:0:0:0
6:00:00 (C),,,,,0:36:8:0:0:0:0:0:0:0:0:0:0:0:0,1:31:8:0:2:0:0:0:0:0:0:0:0:0:0
7:00:00 (C),,,,,2:89:16:2:4:1:0:0:0:0:0:0:0:0:0,1:91:15:2:3:1:0:0:0:0:0:0:0:0:0
8:00:00 (C),,,,,3:130:17:4:3:0:0:2:0:0:0:0:0:0:0,3:148:25:1:4:0:0:0:0:0:0:0:0:0:0
9:00:00 (C),,,,,2:95:18:6:5:0:0:0:0:0:0:0:0:0:0,1:133:22:5:2:1:0:0:0:0:0:0:0:0:0
10:00:00 (C),,,,,2:121:26:0:6:1:0:0:1:0:0:0:0:0:0,2:133:16:2:5:1:0:1:0:0:0:0:0:0:0
11:00:00 (C),,,,,3:174:31:0:5:5:1:1:0:0:0:0:0:0:0,1:103:23:0:5:2:0:1:0:0:0:0:0:0:0
12:00:00 (C),,,,1:188:26:0:5:4:0:0:0:0:0:0:0:0:0,1:223:27:0:7:1:0:0:0:0:0:0:0:0:0,
13:00:00 (C),,,,2:187:27:4:2:2:0:0:0:0:0:0:0:0:0,4:219:32:5:8:2:0:0:0:0:0:0:0:0:0,
14:00:00 (C),,,,3:189:16:0:2:1:0:2:0:0:0:0:0:0:0,2:208:26:0:5:0:0:0:1:0:0:0:0:0:0,
15:00:00 (C),,,,1:215:21:1:5:4:0:0:0:0:0:0:0:0:0,3:227:22:1:6:4:0:0:0:0:0:0:0:0:0,
16:00:00 (C),,,,2:270:17:0:7:2:0:1:0:0:0:0:0:0:0,1:296:13:1:5:1:0:0:0:0:0:0:0:0:0,
17:00:00 (C),,,,3:327:18:0:4:4:0:2:2:0:0:0:0:0:0,6:366:25:0:4:6:1:1:0:0:0:0:0:0:0,
18:00:00 (C),,,,3:202:15:0:2:0:0:4:0:0:0:0:0:0:0,4:269:13:1:3:1:0:0:0:0:0:0:0:0:0,
19:00:00(C),,,,3:192:7:0:0:0:0:0:0:0:0:0:0:0:0,4:172:6:0:0:0:0:1:0:0:0:0:0:0:0,
20:00:00 (C),,,,4:126:7:0:0:1:0:0:0:0:0:0:0:0:0,2:153:7:0:0:0:0:1:0:0:0:0:0:0:0,
21:00:00 (C),,,,1:124:4:0:0:3:0:0:0:0:0:0:0:0:0,1:130:10:0:0:4:0:0:0:0:0:0:0:0:0,
22:00:00 (C),,,,2:91:5:1:0:1:0:0:0:0:0:0:0:0:0,3:98:11:0:0:0:0:0:0:0:0:0:0:0:0,
23:00:00 (C),,,,1:58:2:0:0:0:0:0:0:0:0:0:0:0:0,3:72:3:0:0:0:0:0:0:0:0:0:0:0:0,
