Point: ,121-6118,,,,,,,,,,,,,,
Location: ,"33.775804, -84.390181",,,,,,,,,,,,,,
Road-Type: ,Minor Arterial ,,,,,,,,,,,,,,
Day: ,Tue,Wed,Thu,Tue,Wed,Thu,,,,,,,,,
Date:,2023-09-12,2023-09-13,2023-09-14,2023-12-05,2023-12-06,2023-12-07,,,,,,,,,
16:00:00 (C),8:1847:142:4:28:3:0:1:0:0:0:0:0:0:0,8:1838:149:4:21:7:0:2:0:1:0:0:0:0:0,,,8:225:9:0:0:0:0:0:0:0:0:0:0:0:0,12:209:14:0:1:0:0:0:0:0:0:0:0:0:0,,,,,,,,0,0
17:00:00 (C),9:2047:140:1:20:2:2:1:0:0:0:0:2:0:0,4:1938:131:1:18:2:4:1:0:0:0:0:1:0:0,,,6:245:14:0:2:0:0:0:0:0:0:0:0:0:0,8:263:11:0:0:0:0:0:0:0:0:0:0:0:0,,,,,,,,0,0
18:00:00 (C),12:1761:119:1:17:0:1:1:0:0:0:0:0:0:0,17:1598:133:0:13:0:0:3:0:0:0:0:0:0:0,,,8:258:22:0:4:0:0:0:0:0:0:0:0:0:0,4:255:18:1:1:0:0:1:0:0:0:0:0:0:0,,,,,,,,0,0
19:00:00(C),10:1364:97:2:16:1:0:1:0:0:0:0:0:0:0,5:1380:105:3:11:0:1:0:1:0:0:0:0:0:0,,,4:229:21:0:2:1:0:0:0:0:0:0:0:0:0,7:161:17:0:1:0:0:0:0:0:0:0:0:0:0,,,,,,,,0,0
20:00:00 (C),11:946:82:2:10:1:0:1:0:0:0:0:0:0:0,11:1061:105:3:8:4:2:1:0:0:0:0:0:0:0,,,5:103:12:0:0:0:0:0:0:0:0:0:0:0:0,5:144:8:0:0:1:0:0:0:0:0:0:0:0:0,,,,,,,,0,0
21:00:00 (C),11:810:79:3:12:0:0:1:0:0:0:0:0:0:0,14:828:69:4:9:3:0:0:0:0:0:0:0:0:0,,,3:84:3:0:0:0:0:0:0:0:0:0:0:0:0,5:120:12:0:1:0:0:0:0:0:0:0:0:0:0,,,,,,,,0,0
22:00:00 (C),5:638:53:3:9:0:0:1:0:0:0:0:0:0:0,14:620:58:3:5:2:0:0:0:0:0:0:0:0:0,,,3:141:12:0:0:0:0:0:0:0:0:0:0:0:0,3:117:3:0:0:0:0:0:0:0:0:0:0:0:0,,,,,,,,0,0
23:00:00 (C),7:370:37:4:8:2:0:0:1:0:0:0:0:0:0,2:329:33:4:2:0:0:0:0:0:0:0:0:0:0,,5:47:5:0:1:0:0:0:0:0:0:0:0:0:0,3:75:11:0:0:0:0:0:0:0:0:0:0:0:0,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,0,0
