Point: ,121-5238,,,,,
Location: ,"33.72051601, -84.3867272",,,,,
Road-Type: ,Minor Arterial,,,,,
Day: ,Mon,Tue,Wed,Mon,Tue,Wed
Date:,2022-06-20,2022-06-21,2022-06-22,2025-03-24,2025-03-25,2025-03-26
0:00:00 (V),,172,199,,221,239
1:00:00 (V),,135,165,,127,166
2:00:00 (V),,81,82,,110,103
3:00:00 (V),,71,81,,118,119
4:00:00 (V),,88,84,,153,160
5:00:00 (V),,158,163,,293,293
6:00:00 (V),,254,238,,488,518
7:00:00 (V),,425,416,,981,1037
8:00:00 (V),,449,470,,1142,1089
9:00:00 (V),,416,403,,805,750
10:00:00 (V),,440,447,,704,662
11:00:00 (V),,488,477,,755,813
12:00:00 (V),,504,560,,852,812
13:00:00 (V),,546,577,,903,817
14:00:00 (V),,571,531,,970,869
15:00:00 (V),,583,589,,1036,1060
16:00:00 (V),,561,579,,1188,1169
17:00:00 (V),,610,629,,1194,1261
18:00:00 (V),,569,507,,900,1095
19:00:00(V),,483,483,630,696,
20:00:00 (V),,404,445,567,673,
21:00:00 (V),385,365,,465,521,
22:00:00 (V),304,278,,340,425,
23:00:00 (V),223,246,,270,296,
,,,,,,
12:00:00 (C),,2:150:10:2:2:1:0:1:3:0:1:0:0:0:0,2:179:7:1:5:1:0:2:2:0:0:0:0:0:0,,,
1:00:00 (C),,0:118:5:1:3:3:0:2:3:0:0:0:0:0:0,0:141:17:0:6:0:0:1:0:0:0:0:0:0:0,,,
2:00:00 (C),,1:67:5:0:4:2:0:1:1:0:0:0:0:0:0,0:65:7:0:4:5:0:1:0:0:0:0:0:0:0,,,
3:00:00 (C),,1:54:6:3:0:4:0:2:1:0:0:0:0:0:0,0:62:4:3:4:3:0:1:4:0:0:0:0:0:0,,,
4:00:00 (C),,3:64:12:0:3:4:0:1:0:0:1:0:0:0:0,1:61:9:0:5:4:0:2:2:0:0:0:0:0:0,,,
5:00:00 (C),,1:116:17:2:5:10:0:2:4:0:1:0:0:0:0,2:117:16:6:3:12:0:0:7:0:0:0:0:0:0,,,
6:00:00 (C),,1:181:35:6:8:14:0:0:9:0:0:0:0:0:0,0:170:38:10:6:10:0:1:3:0:0:0:0:0:0,,,
7:00:00 (C),,3:311:60:11:18:14:0:1:7:0:0:0:0:0:0,0:299:67:6:19:12:0:3:10:0:0:0:0:0:0,,,
8:00:00 (C),,3:327:67:8:23:7:0:2:10:0:1:1:0:0:0,2:343:69:10:22:8:1:5:10:0:0:0:0:0:0,,,
9:00:00 (C),,3:315:60:5:16:6:0:3:7:1:0:0:0:0:0,4:273:71:6:20:13:1:2:12:1:0:0:0:0:0,,,
10:00:00 (C),,5:317:55:8:23:9:0:4:19:0:0:0:0:0:0,1:319:65:9:28:15:0:2:6:1:0:0:1:0:0,,,
11:00:00 (C),,6:358:64:6:21:15:0:3:15:0:0:0:0:0:0,3:328:68:9:24:18:0:12:13:2:0:0:0:0:0,,,
12:00:00 (C),,2:381:59:10:20:12:0:5:15:0:0:0:0:0:0,2:384:99:11:32:12:1:3:15:0:0:0:1:0:0,,,
13:00:00 (C),,3:391:83:11:25:10:0:5:16:2:0:0:0:0:0,3:421:88:10:22:16:0:5:12:0:0:0:0:0:0,,,
14:00:00 (C),,8:424:84:11:23:10:0:3:8:0:0:0:0:0:0,2:403:64:7:17:14:0:8:16:0:0:0:0:0:0,,,
15:00:00 (C),,1:452:74:9:18:12:0:6:11:0:0:0:0:0:0,7:453:88:7:14:7:0:4:8:1:0:0:0:0:0,,,
16:00:00 (C),,4:440:75:6:12:11:0:4:9:0:0:0:0:0:0,4:465:71:5:21:4:1:4:4:0:0:0:0:0:0,,,
17:00:00 (C),,3:482:84:4:18:6:0:6:6:1:0:0:0:0:0,4:532:66:3:12:4:0:1:6:0:0:0:1:0:0,,,
18:00:00 (C),,4:486:58:2:11:5:0:1:2:0:0:0:0:0:0,4:410:66:4:16:4:0:0:2:0:1:0:0:0:0,,,
19:00:00(C),,3:405:42:4:17:5:0:2:4:0:1:0:0:0:0,3:408:46:5:8:5:0:4:3:0:1:0:0:0:0,,,
20:00:00 (C),,4:342:40:2:8:2:0:3:2:0:1:0:0:0:0,2:375:39:7:10:5:0:2:3:0:2:0:0:0:0,,,
21:00:00 (C),3:339:30:4:7:0:0:1:1:0:0:0:0:0:0,1:315:30:4:6:3:0:2:3:0:1:0:0:0:0,,,,
22:00:00 (C),1:266:24:3:4:3:0:2:1:0:0:0:0:0:0,0:246:19:3:6:0:0:2:2:0:0:0:0:0:0,,,,
23:00:00 (C),0:201:13:3:1:1:0:0:2:0:2:0:0:0:0,1:209:22:4:5:1:0:1:3:0:0:0:0:0:0,,,,
