Point: ,121-5221,,
Location: ,"33.7438417261166, -84.4091296920755",,
Road-Type: ,Minor Arterial,,
Day: ,Wed,Thu,Fri
Date:,2023-02-15,2023-02-16,2023-02-17
0:00:00 (V),,136,153
1:00:00 (V),,87,99
2:00:00 (V),,57,75
3:00:00 (V),51,34,
4:00:00 (V),56,41,
5:00:00 (V),120,115,
6:00:00 (V),340,239,
7:00:00 (V),595,632,
8:00:00 (V),867,868,
9:00:00 (V),656,676,
10:00:00 (V),562,521,
11:00:00 (V),554,585,
12:00:00 (V),632,675,
13:00:00 (V),605,667,
14:00:00 (V),675,766,
15:00:00 (V),845,1003,
16:00:00 (V),978,1089,
17:00:00 (V),1064,1152,
18:00:00 (V),790,926,
19:00:00(V),654,669,
20:00:00 (V),486,501,
21:00:00 (V),439,436,
22:00:00 (V),578,339,
23:00:00 (V),226,253,
,,,
12:00:00 (C),,,
1:00:00 (C),,,
2:00:00 (C),,,
3:00:00 (C),,,
4:00:00 (C),,,
5:00:00 (C),,,
6:00:00 (C),,,
7:00:00 (C),,,
8:00:00 (C),,,
9:00:00 (C),,,
10:00:00 (C),,,
11:00:00 (C),,,
12:00:00 (C),,,
13:00:00 (C),,,
14:00:00 (C),,,
15:00:00 (C),,,
16:00:00 (C),,,
17:00:00 (C),,,
18:00:00 (C),,,
19:00:00(C),,,
20:00:00 (C),,,
21:00:00 (C),,,
22:00:00 (C),,,
23:00:00 (C),,,
