Point: ,121-5611,,,,,
Location: ,"33.7733314670596, -84.4038564669575",,,,,
Road-Type: ,Minor Arterial,,,,,
Day: ,Wed,Thu,Fri,Tue,Wed,Thu
Date:,2023-02-15,2023-02-16,2023-02-17,2025-09-09,2025-09-10,2025-09-11
0:00:00 (V),,176,218,,264,189
1:00:00 (V),,95,121,,191,135
2:00:00 (V),,81,107,,133,128
3:00:00 (V),89,67,,,84,100
4:00:00 (V),65,59,,,97,82
5:00:00 (V),97,103,,,144,167
6:00:00 (V),263,257,,,344,350
7:00:00 (V),632,539,,,621,673
8:00:00 (V),761,749,,,862,985
9:00:00 (V),662,689,,,884,848
10:00:00 (V),665,583,,,698,690
11:00:00 (V),627,685,,,721,727
12:00:00 (V),848,814,,,875,779
13:00:00 (V),760,789,,,741,746
14:00:00 (V),726,751,,,805,843
15:00:00 (V),828,817,,,955,920
16:00:00 (V),917,1006,,,908,938
17:00:00 (V),824,889,,,884,931
18:00:00 (V),893,829,,,848,885
19:00:00(V),717,699,,673,720,0
20:00:00 (V),519,544,,522,590,
21:00:00 (V),647,479,,670,514,
22:00:00 (V),540,470,,617,505,
23:00:00 (V),306,361,,497,386,
,,,,,,
12:00:00 (C),,2:157:12:3:2:0:0:0:0:0:0:0:0:0:0,2:197:18:0:1:0:0:0:0:0:0:0:0:0:0,,6:209:45:2:1:0:0:0:1:0:0:0:0:0:0,6:148:31:2:2:0:0:0:0:0:0:0:0:0:0
1:00:00 (C),,0:83:10:2:0:0:0:0:0:0:0:0:0:0:0,0:104:13:2:1:0:0:1:0:0:0:0:0:0:0,,4:164:19:0:3:0:0:0:1:0:0:0:0:0:0,1:100:29:0:3:2:0:0:0:0:0:0:0:0:0
2:00:00 (C),,0:71:5:1:1:0:0:0:2:1:0:0:0:0:0,0:93:9:3:1:1:0:0:0:0:0:0:0:0:0,,1:110:16:2:2:1:0:0:1:0:0:0:0:0:0,2:95:19:1:2:9:0:0:0:0:0:0:0:0:0
3:00:00 (C),0:73:8:0:2:1:0:0:4:1:0:0:0:0:0,1:53:10:1:1:1:0:0:0:0:0:0:0:0:0,,,0:70:6:1:2:5:0:0:0:0:0:0:0:0:0,1:70:15:0:1:12:0:0:1:0:0:0:0:0:0
4:00:00 (C),0:49:10:1:1:2:0:0:1:1:0:0:0:0:0,0:42:7:6:1:1:0:0:2:0:0:0:0:0:0,,,2:77:9:3:2:3:0:0:1:0:0:0:0:0:0,1:48:13:2:4:13:0:0:1:0:0:0:0:0:0
