Point: ,121-5009,,
Location: ,"33.766997, -84.389038",,
Road-Type: ,Minor Arterial,,
Day: ,Mon,Tue,Wed
Date:,2026-03-30,2026-03-31,2026-04-01
12:00:00 (V),,115,154
1:00:00 (V),,77,64
2:00:00 (V),,50,33
3:00:00 (V),,38,21
4:00:00 (V),,46,20
5:00:00 (V),,166,51
6:00:00 (V),,178,30
7:00:00 (V),,186,99
8:00:00 (V),,258,208
9:00:00 (V),,392,324
10:00:00 (V),,373,336
11:00:00 (V),,369,252
12:00:00 (V),,393,293
13:00:00 (V),403,548,
14:00:00 (V),513,518,
15:00:00 (V),498,440,
16:00:00 (V),499,444,
17:00:00 (V),469,505,
18:00:00 (V),468,539,
19:00:00(V),548,466,
20:00:00 (V),335,269,
21:00:00 (V),306,371,
22:00:00 (V),311,262,
23:00:00 (V),165,197,
,,,
12:00:00 (C),,1:104:6:0:3:0:0:1:0:0:0:0:0:0:0,0:144:6:0:3:0:0:1:0:0:0:0:0:0:0
1:00:00 (C),,1:69:6:0:1:0:0:0:0:0:0:0:0:0:0,1:59:1:1:0:0:0:0:1:0:0:0:1:0:0
2:00:00 (C),,0:47:2:0:1:0:0:0:0:0:0:0:0:0:0,0:31:2:0:0:0:0:0:0:0:0:0:0:0:0
3:00:00 (C),,0:37:1:0:0:0:0:0:0:0:0:0:0:0:0,0:21:0:0:0:0:0:0:0:0:0:0:0:0:0
4:00:00 (C),,0:34:7:0:3:2:0:0:0:0:0:0:0:0:0,0:20:0:0:0:0:0:0:0:0:0:0:0:0:0
5:00:00 (C),,0:126:26:1:10:0:0:2:1:0:0:0:0:0:0,0:44:4:0:1:0:0:1:1:0:0:0:0:0:0
6:00:00 (C),,0:137:34:0:5:0:0:0:2:0:0:0:0:0:0,0:23:6:0:1:0:0:0:0:0:0:0:0:0:0
7:00:00 (C),,0:157:24:0:4:1:0:0:0:0:0:0:0:0:0,1:91:7:0:0:0:0:0:0:0:0:0:0:0:0
8:00:00 (C),,1:232:15:1:5:2:0:1:1:0:0:0:0:0:0,0:185:18:0:2:3:0:0:0:0:0:0:0:0:0
9:00:00 (C),,1:358:20:5:5:1:0:1:1:0:0:0:0:0:0,1:289:23:5:2:2:0:1:1:0:0:0:0:0:0
10:00:00 (C),,2:296:42:5:23:2:0:0:3:0:0:0:0:0:0,0:296:35:3:1:0:0:1:0:0:0:0:0:0:0
11:00:00 (C),,0:313:39:8:8:1:0:0:0:0:0:0:0:0:0,0:213:23:6:9:0:0:0:0:1:0:0:0:0:0
12:00:00 (C),,1:342:38:3:9:0:0:0:0:0:0:0:0:0:0,5:248:30:5:2:1:0:0:2:0:0:0:0:0:0
13:00:00 (C),1:351:43:1:5:2:0:0:0:0:0:0:0:0:0,0:480:58:3:6:0:0:1:0:0:0:0:0:0:0,
14:00:00 (C),1:451:44:5:9:2:0:1:0:0:0:0:0:0:0,1:455:50:4:4:2:0:2:0:0:0:0:0:0:0,
15:00:00 (C),1:453:35:4:3:0:0:2:0:0:0:0:0:0:0,1:396:33:1:5:2:0:2:0:0:0:0:0:0:0,
16:00:00 (C),0:451:42:2:4:0:0:0:0:0:0:0:0:0:0,0:421:19:1:2:1:0:0:0:0:0:0:0:0:0,
17:00:00 (C),1:430:36:0:1:1:0:0:0:0:0:0:0:0:0,1:466:34:1:2:0:0:0:1:0:0:0:0:0:0,
18:00:00 (C),0:443:18:0:5:0:0:0:2:0:0:0:0:0:0,4:484:41:4:5:1:0:0:0:0:0:0:0:0:0,
19:00:00(C),3:513:29:1:1:0:0:0:1:0:0:0:0:0:0,6:424:31:1:4:0:0:0:0:0:0:0:0:0:0,
20:00:00 (C),2:311:19:0:2:0:0:0:1:0:0:0:0:0:0,3:250:13:0:2:0:0:0:1:0:0:0:0:0:0,
21:00:00 (C),1:281:23:0:0:0:0:0:1:0:0:0:0:0:0,5:340:23:0:1:0:0:0:2:0:0:0:0:0:0,
22:00:00 (C),1:287:16:1:5:0:0:0:1:0:0:0:0:0:0,4:234:20:0:3:0:0:0:1:0:0:0:0:0:0,
23:00:00 (C),1:155:6:0:3:0:0:0:0:0:0:0:0:0:0,3:185:8:0:1:0:0:0:0:0:0:0:0:0:0,
