Point: ,121-8895,,
Location: ,"33.738015, -84.392575",,
Road-Type: ,Minor Arterial,,
Day: ,Wed,Thu,Fri
Date:,2023-02-15,2023-02-16,2023-02-17
0:00:00 (V),,60,88
1:00:00 (V),,47,57
2:00:00 (V),,31,57
3:00:00 (V),43,46,
4:00:00 (V),70,63,
5:00:00 (V),255,257,
6:00:00 (V),888,535,
7:00:00 (V),1122,1023,
8:00:00 (V),908,1172,
9:00:00 (V),840,771,
10:00:00 (V),593,560,
11:00:00 (V),481,456,
12:00:00 (V),459,527,
13:00:00 (V),449,536,
14:00:00 (V),507,574,
15:00:00 (V),527,522,
16:00:00 (V),523,579,
17:00:00 (V),695,642,
18:00:00 (V),795,561,
19:00:00(V),397,449,
20:00:00 (V),277,318,
21:00:00 (V),206,206,
22:00:00 (V),157,186,
23:00:00 (V),113,127,
,,,
12:00:00 (C),,0:48:10:1:1:0:0:0:0:0:0:0:0:0:0,0:77:11:0:0:0:0:0:0:0:0:0:0:0:0
1:00:00 (C),,0:43:4:0:0:0:0:0:0:0:0:0:0:0:0,0:47:7:0:0:0:0:0:3:0:0:0:0:0:0
2:00:00 (C),,0:27:3:1:0:0:0:0:0:0:0:0:0:0:0,0:46:8:1:2:0:0:0:0:0:0:0:0:0:0
3:00:00 (C),0:31:12:0:0:0:0:0:0:0:0:0:0:0:0,0:36:10:0:0:0:0:0:0:0:0:0:0:0:0,
4:00:00 (C),1:46:16:4:0:0:0:1:2:0:0:0:0:0:0,0:50:11:0:0:0:0:1:1:0:0:0:0:0:0,
5:00:00 (C),1:175:69:1:8:0:0:0:1:0:0:0:0:0:0,0:182:63:3:8:1:0:0:0:0:0:0:0:0:0,
6:00:00 (C),0:670:174:6:28:6:0:3:0:0:0:0:1:0:0,1:398:116:4:12:0:0:4:0:0:0:0:0:0:0,
7:00:00 (C),0:902:183:10:14:8:1:1:3:0:0:0:0:0:0,0:821:172:9:17:3:0:0:1:0:0:0:0:0:0,
8:00:00 (C),0:750:139:2:9:7:1:0:0:0:0:0:0:0:0,0:974:174:4:12:6:0:2:0:0:0:0:0:0:0,
9:00:00 (C),0:670:135:8:14:11:0:2:0:0:0:0:0:0:0,1:612:140:6:7:4:0:1:0:0:0:0:0:0:0,
10:00:00 (C),0:476:94:2:13:7:0:1:0:0:0:0:0:0:0,1:454:87:2:11:3:0:0:2:0:0:0:0:0:0,
11:00:00 (C),0:379:78:5:9:7:1:1:1:0:0:0:0:0:0,0:366:76:3:9:2:0:0:0:0:0:0:0:0:0,
12:00:00 (C),0:369:66:6:11:7:0:0:0:0:0:0:0:0:0,1:431:83:4:4:0:0:1:3:0:0:0:0:0:0,
13:00:00 (C),0:368:73:0:7:0:0:1:0:0:0:0:0:0:0,0:411:105:1:15:1:1:1:0:1:0:0:0:0:0,
14:00:00 (C),0:393:93:3:16:1:0:1:0:0:0:0:0:0:0,1:459:98:2:11:3:0:0:0:0:0:0:0:0:0,
15:00:00 (C),1:429:88:5:3:0:0:1:0:0:0:0:0:0:0,0:420:88:3:9:1:0:1:0:0:0:0:0:0:0,
16:00:00 (C),2:432:83:2:1:1:0:0:2:0:0:0:0:0:0,0:466:104:1:4:1:0:1:2:0:0:0:0:0:0,
17:00:00 (C),0:577:107:2:6:2:0:0:1:0:0:0:0:0:0,0:525:110:2:3:2:0:0:0:0:0:0:0:0:0,
18:00:00 (C),0:641:140:0:11:2:0:0:1:0:0:0:0:0:0,0:472:81:2:5:1:0:0:0:0:0:0:0:0:0,
19:00:00(C),0:346:48:1:1:0:0:1:0:0:0:0:0:0:0,1:360:77:1:9:0:0:0:1:0:0:0:0:0:0,
20:00:00 (C),0:220:45:3:9:0:0:0:0:0:0:0:0:0:0,0:268:42:1:7:0:0:0:0:0:0:0:0:0:0,
21:00:00 (C),0:168:31:2:3:0:0:0:2:0:0:0:0:0:0,0:171:32:2:1:0:0:0:0:0:0:0:0:0:0,
22:00:00 (C),0:128:25:1:2:0:0:0:0:1:0:0:0:0:0,0:157:27:2:0:0:0:0:0:0:0:0:0:0:0,
23:00:00 (C),0:100:13:0:0:0:0:0:0:0:0:0:0:0:0,0:98:24:2:3:0:0:0:0:0:0:0:0:0:0,
