Point: ,121-8447,,,,,
Location: ,"33.765529, -84.408847",,,,,
Road-Type: ,Local,,,,,
Day: ,Mon,Tue,Wed,Mon,Tue,Wed
Date:,2022-10-24,2022-10-25,2022-10-26,2025-04-07,2025-04-08,2025-04-09
0:00:00 (V),,9,9,,15,6
1:00:00 (V),,14,2,,0,6
2:00:00 (V),,4,15,,1,2
3:00:00 (V),,9,2,,2,2
4:00:00 (V),,3,9,,2,1
5:00:00 (V),,0,2,,1,1
6:00:00 (V),,7,1,,4,1
7:00:00 (V),,14,12,,6,9
8:00:00 (V),,22,14,,20,14
9:00:00 (V),,21,26,,11,22
10:00:00 (V),,21,10,,18,17
11:00:00 (V),,23,14,,19,8
12:00:00 (V),,19,25,,24,14
13:00:00 (V),,22,28,,20,21
14:00:00 (V),,29,34,,21,37
15:00:00 (V),,49,42,,29,43
16:00:00 (V),,23,28,,26,30
17:00:00 (V),,36,38,,23,44
18:00:00 (V),,63,32,21,14,
19:00:00(V),,23,36,13,24,
20:00:00 (V),26,9,,17,16,
21:00:00 (V),10,19,,19,10,
22:00:00 (V),20,16,,9,12,
23:00:00 (V),11,18,,11,3,
,,,,,,
12:00:00 (C),,,,,,
1:00:00 (C),,,,,,
2:00:00 (C),,,,,,
3:00:00 (C),,,,,,
4:00:00 (C),,,,,,
5:00:00 (C),,,,,,
6:00:00 (C),,,,,,
7:00:00 (C),,,,,,
8:00:00 (C),,,,,,
9:00:00 (C),,,,,,
10:00:00 (C),,,,,,
11:00:00 (C),,,,,,
12:00:00 (C),,,,,,
13:00:00 (C),,,,,,
14:00:00 (C),,,,,,
15:00:00 (C),,,,,,
16:00:00 (C),,,,,,
17:00:00 (C),,,,,,
18:00:00 (C),,,,,,
19:00:00(C),,,,,,
20:00:00 (C),,,,,,
21:00:00 (C),,,,,,
22:00:00 (C),,,,,,
23:00:00 (C),,,,,,
