Point: ,121-8447,,
Location: ,"33.77187, -84.413459",,
Road-Type: ,Local,,
Day: ,Tue,Wed,Thu
Date:,2023-12-05,2023-12-06,2023-12-07
0:00:00 (V),,10,2
1:00:00 (V),,5,1
2:00:00 (V),,2,2
3:00:00 (V),,1,2
4:00:00 (V),,3,0
5:00:00 (V),,7,3
6:00:00 (V),,9,9
7:00:00 (V),,14,18
8:00:00 (V),,31,20
9:00:00 (V),,17,27
10:00:00 (V),,18,22
11:00:00 (V),,21,26
12:00:00 (V),,13,36
13:00:00 (V),,20,24
14:00:00 (V),,37,30
15:00:00 (V),,41,41
16:00:00 (V),,55,39
17:00:00 (V),,29,43
18:00:00 (V),,20,25
19:00:00(V),,18,13
20:00:00 (V),14,12,
21:00:00 (V),11,10,
22:00:00 (V),6,13,
23:00:00 (V),7,6,
,,,
12:00:00 (C),,0:9:0:0:0:1:0:0:0:0:0:0:0:0:0,0:2:0:0:0:0:0:0:0:0:0:0:0:0:0
1:00:00 (C),,0:5:0:0:0:0:0:0:0:0:0:0:0:0:0,0:1:0:0:0:0:0:0:0:0:0:0:0:0:0
2:00:00 (C),,0:2:0:0:0:0:0:0:0:0:0:0:0:0:0,0:2:0:0:0:0:0:0:0:0:0:0:0:0:0
3:00:00 (C),,0:1:0:0:0:0:0:0:0:0:0:0:0:0:0,0:2:0:0:0:0:0:0:0:0:0:0:0:0:0
4:00:00 (C),,0:3:0:0:0:0:0:0:0:0:0:0:0:0:0,
5:00:00 (C),,0:4:2:1:0:0:0:0:0:0:0:0:0:0:0,0:2:0:1:0:0:0:0:0:0:0:0:0:0:0
6:00:00 (C),,0:4:3:1:1:0:0:0:0:0:0:0:0:0:0,0:4:4:1:0:0:0:0:0:0:0:0:0:0:0
7:00:00 (C),,0:10:3:1:0:0:0:0:0:0:0:0:0:0:0,0:13:3:2:0:0:0:0:0:0:0:0:0:0:0
8:00:00 (C),,0:18:11:2:0:0:0:0:0:0:0:0:0:0:0,0:13:6:1:0:0:0:0:0:0:0:0:0:0:0
9:00:00 (C),,0:11:3:1:2:0:0:0:0:0:0:0:0:0:0,1:22:3:1:0:0:0:0:0:0:0:0:0:0:0
10:00:00 (C),,0:12:5:1:0:0:0:0:0:0:0:0:0:0:0,0:14:5:1:2:0:0:0:0:0:0:0:0:0:0
11:00:00 (C),,0:14:4:1:1:1:0:0:0:0:0:0:0:0:0,0:21:4:1:0:0:0:0:0:0:0:0:0:0:0
12:00:00 (C),,1:8:2:1:1:0:0:0:0:0:0:0:0:0:0,0:25:5:1:3:2:0:0:0:0:0:0:0:0:0
13:00:00 (C),,0:14:5:1:0:0:0:0:0:0:0:0:0:0:0,0:19:1:2:2:0:0:0:0:0:0:0:0:0:0
14:00:00 (C),,0:29:5:1:2:0:0:0:0:0:0:0:0:0:0,0:24:4:1:1:0:0:0:0:0:0:0:0:0:0
15:00:00 (C),,1:31:7:1:1:0:0:0:0:0:0:0:0:0:0,0:34:4:2:1:0:0:0:0:0:0:0:0:0:0
16:00:00 (C),,1:42:8:2:2:0:0:0:0:0:0:0:0:0:0,0:30:6:1:1:1:0:0:0:0:0:0:0:0:0
17:00:00 (C),,0:27:1:1:0:0:0:0:0:0:0:0:0:0:0,1:36:4:0:1:1:0:0:0:0:0:0:0:0:0
18:00:00 (C),,0:15:2:1:1:1:0:0:0:0:0:0:0:0:0,0:23:0:1:1:0:0:0:0:0:0:0:0:0:0
19:00:00(C),,0:16:1:1:0:0:0:0:0:0:0:0:0:0:0,0:12:0:1:0:0:0:0:0:0:0:0:0:0:0
20:00:00 (C),0:12:0:2:0:0:0:0:0:0:0:0:0:0:0,0:10:1:1:0:0:0:0:0:0:0:0:0:0:0,
21:00:00 (C),0:9:1:1:0:0:0:0:0:0:0:0:0:0:0,0:8:1:1:0:0:0:0:0:0:0:0:0:0:0,
22:00:00 (C),0:3:1:1:0:1:0:0:0:0:0:0:0:0:0,0:12:0:1:0:0:0:0:0:0:0:0:0:0:0,
23:00:00 (C),0:6:0:1:0:0:0:0:0:0:0:0:0:0:0,0:5:0:1:0:0:0:0:0:0:0:0:0:0:0,
