Point: ,121-8441,,
Location: ,"33.740708, -84.418992",,
Road-Type: ,Local,,
Day: ,Tue,Wed,Thu
Date:,2023-12-05,2023-12-06,2023-12-07
0:00:00 (V),,18,32
1:00:00 (V),,15,18
2:00:00 (V),,9,16
3:00:00 (V),,8,19
4:00:00 (V),,19,17
5:00:00 (V),,22,19
6:00:00 (V),,47,45
7:00:00 (V),,99,86
8:00:00 (V),,138,133
9:00:00 (V),,90,91
10:00:00 (V),,85,74
11:00:00 (V),,98,90
12:00:00 (V),,105,95
13:00:00 (V),90,111,
14:00:00 (V),140,132,
15:00:00 (V),140,139,
16:00:00 (V),160,191,
17:00:00 (V),156,216,
18:00:00 (V),113,140,
19:00:00(V),81,100,
20:00:00 (V),67,52,
21:00:00 (V),41,49,
22:00:00 (V),32,44,
23:00:00 (V),24,27,
,,,
12:00:00 (C),,,
1:00:00 (C),,,
2:00:00 (C),,,
3:00:00 (C),,,
4:00:00 (C),,,
5:00:00 (C),,,
6:00:00 (C),,,
7:00:00 (C),,,
8:00:00 (C),,,
9:00:00 (C),,,
10:00:00 (C),,,
11:00:00 (C),,,
12:00:00 (C),,,
13:00:00 (C),,,
14:00:00 (C),,,
15:00:00 (C),,,
16:00:00 (C),,,
17:00:00 (C),,,
18:00:00 (C),,,
19:00:00(C),,,
20:00:00 (C),,,
21:00:00 (C),,,
22:00:00 (C),,,
23:00:00 (C),,,
