Point: ,121-8860,,
Location: ,"33.776899, -84.402435",,
Road-Type: ,Local,,
Day: ,Tue,Wed,Thu
Date:,2022-08-16,2022-08-17,2022-08-18
0:00:00 (V),,26,40
1:00:00 (V),,18,26
2:00:00 (V),,20,20
3:00:00 (V),,13,16
4:00:00 (V),,9,8
5:00:00 (V),,33,40
6:00:00 (V),,96,109
7:00:00 (V),,240,207
8:00:00 (V),,321,329
9:00:00 (V),,309,378
10:00:00 (V),,279,388
11:00:00 (V),,350,494
12:00:00 (V),,418,470
13:00:00 (V),,402,459
14:00:00 (V),,388,493
15:00:00 (V),,458,586
16:00:00 (V),,535,667
17:00:00 (V),,567,778
18:00:00 (V),,610,462
19:00:00(V),,346,278
20:00:00 (V),206,196,
21:00:00 (V),130,168,
22:00:00 (V),143,115,
23:00:00 (V),40,49,
,,,
12:00:00 (C),,,
1:00:00 (C),,,
2:00:00 (C),,,
3:00:00 (C),,,
4:00:00 (C),,,
5:00:00 (C),,,
6:00:00 (C),,,
7:00:00 (C),,,
8:00:00 (C),,,
9:00:00 (C),,,
10:00:00 (C),,,
11:00:00 (C),,,
12:00:00 (C),,,
13:00:00 (C),,,
14:00:00 (C),,,
15:00:00 (C),,,
16:00:00 (C),,,
17:00:00 (C),,,
18:00:00 (C),,,
19:00:00(C),,,
20:00:00 (C),,,
21:00:00 (C),,,
22:00:00 (C),,,
23:00:00 (C),,,
