OID,RouteId,BeginPoint,EndPoint,LANE_WIDTHVn,LANE_WIDTHVt,LANE_WIDTHVd,LANE_WIDTHComments,Shape_Length
-1,1000100001000INC,82.061800000000005,83.088499999999996,12.000000000000000,,,GA2210109-02,0.017194937321664
-1,1121200139129INC,7.817400000000000,8.462000000000000,10.000000000000000,,,GA1210760-05,0.010869025827384
-1,1000100002900INC,49.410200000000003,49.723199999999999,12.000000000000000,,,GA1750087-01,0.004749784017251
-1,1000100000100INC,48.979399999999998,48.979799999999997,12.000000000000000,,,GA0990001-01,0.000006403950337
-1,1095200055601INC,0.000000000000000,0.513100000000000,10.000000000000000,,,GA0950549-01,0.008701106575972
-1,12151000022SPINC,9.427800000000000,10.308000000000000,14.000000000000000,,,GA2150272-01,0.013713208040674
-1,1051200012200INC,0.000000000000000,0.540300000000000,10.000000000000000,,,GA0511091-01,0.008720875682697
-1,1000100024700INC,27.782299999999999,27.911300000000001,12.000000000000000,,,GA1530194-01,0.001875313780775
-1,1153200013815INC,0.000000000000000,0.009900000000000,10.000000000000000,,,GA1530352-01,0.000169815148053
-1,1015200013400INC,0.983300000000000,2.116100000000000,10.000000000000000,,,GA0150000-01,0.017129366811523
-1,1000100011900INC,15.708100000000000,18.185300000000002,12.000000000000000,,,GA1790121-01,0.040658230273079
-1,1215200187000INC,0.447900000000000,0.477400000000000,10.000000000000000,,,GA2150965-01,0.000430369620724
-1,1000100040200INC,104.860799999999998,112.933800000000005,12.000000000000000,,,GA2110198-01,0.137560995264946
-1,1000100003000INC,77.966999999999999,79.347200000000001,12.000000000000000,,,GA3150132-02,0.023033036456978
-1,1000100000300INC,229.203800000000001,229.532900000000012,12.000000000000000,,,GA1215035-01,0.005138277454146
-1,1107200102923INC,0.182700000000000,0.675300000000000,10.000000000000000,,,GA1070465-02,0.008273077336867
-1,1000100002500INC,125.773399999999995,126.342699999999994,12.000000000000000,,,GA0510245-01,0.008336688776688
-1,1077200065209INC,0.440100000000000,0.585600000000000,10.000000000000000,,,GA0770577-01,0.002113926566229
-1,1067200139013INC,1.632000000000000,1.819100000000000,10.000000000000000,,,GA0672025-01,0.002727733382643
-1,1000100041900INC,26.998899999999999,30.715399999999999,12.000000000000000,,,GA1390214-01,0.060737908238175
-1,1215200051900INC,0.069500000000000,0.279200000000000,10.000000000000000,,,GA2151071-01,0.003053747501283
-1,1000100001100INC,188.416899999999998,189.104899999999986,12.000000000000000,,,GA1690103-01,0.010001996077776
-1,1135200327300INC,0.583800000000000,0.709300000000000,10.000000000000000,,,GA1350409-01,0.001836872833258
-1,1013200001111INC,2.369500000000000,2.441100000000000,10.000000000000000,,,GA0130274-01,0.001149763468435
-1,1051200150807INC,0.000000000000000,0.079000000000000,10.000000000000000,,,GA0510693-01,0.001278858938302
-1,1000100040000INC,22.863000000000000,23.425400000000000,9.000000000000000,,,GA1170080-01,0.009328522815542
-1,1179200092605INC,0.580200000000000,0.680300000000000,10.000000000000000,,,GA1790081-01,0.001463469574802
-1,1021200537800INC,0.672000000000000,0.890300000000000,10.000000000000000,,,GA0210558-01,0.003620626376041
-1,1000100014400INC,67.650800000000004,68.853099999999998,12.000000000000000,,,GA0290178-01,0.019504898601684
-1,1000100002700INC,252.475500000000011,252.812000000000012,12.000000000000000,,,GA1270236-01,0.004942972650939
-1,1000100000800INC,81.302899999999994,82.019800000000004,12.000000000000000,,,GA1350007-01,0.012040241719120
-1,1121200100203INC,0.859800000000000,1.232100000000000,11.000000000000000,,,GA1216148-01,0.006392640533941
-1,1000100000100INC,208.026800000000009,208.027299999999997,12.000000000000000,,,GA2850049-01,0.000007282637946
-1,1000100005900INC,0.235400000000000,0.235600000000000,12.000000000000000,,,GA1570133-02,0.000002949687378
-1,1089200518900INC,1.802600000000000,2.201100000000000,10.000000000000000,,,GA0893449-01,0.006898176087551
-1,1051100030700INC,7.985600000000000,8.472400000000000,8.000000000000000,,,GA0510350-01,0.008257567811604
-1,1000100020400INC,18.461300000000001,18.814599999999999,12.000000000000000,,,GA0510318-02,0.005586212689251
-1,1151200043500INC,0.447000000000000,1.778300000000000,10.000000000000000,,,GA1510242-01,0.022412427399257
-1,1013200080311INC,0.000000000000000,0.463600000000000,10.000000000000000,,,GA0130281-01,0.006933744226136
-1,1000100010400INC,0.346800000000000,0.426800000000000,12.000000000000000,,,GA2450661-03,0.001356845150911
-1,1215200129500INC,1.336700000000000,1.366300000000000,10.000000000000000,,,GA2150592-01,0.000439195234377
-1,11071000004BUINC,4.088700000000000,4.203200000000000,14.000000000000000,,,GA1070029-01,0.001751931778571
-1,1000100002200INC,98.048599999999993,98.772000000000006,12.000000000000000,,,GA0210149-01,0.011037477027665
-1,1073200017600INC,0.513900000000000,0.519000000000000,10.000000000000000,,,GA0730209-01,0.000083856452788
-1,1059200111300INC,1.115200000000000,1.163200000000000,10.000000000000000,,,GA0590525-01,0.000703905703401
-1,1189200000800INC,1.268500000000000,2.633600000000000,10.000000000000000,,,GA1890207-02,0.023617135256958
-1,1000100040700INC,39.013199999999998,40.861199999999997,12.000000000000000,,,GA0893354-01,0.027448709978984
-1,1000100002800INC,5.350600000000000,5.526400000000000,12.000000000000000,,,GA2450721-01,0.002872722956175
-1,1000100001000INC,52.717900000000000,54.168199999999999,12.000000000000000,,,GA2190105-01,0.022773501036772
-1,1000100000200INC,5.551000000000000,5.793800000000000,12.000000000000000,,,GA0470018-01,0.004124394400476
-1,1013200000020INC,0.000000000000000,0.654800000000000,10.000000000000000,,,GA0130000-01,0.009919398716796
-1,1000100010100INC,37.817399999999999,38.223399999999998,12.000000000000000,,,GA1150143-01,0.006114558879280
-1,1051200091907INC,0.000000000000000,0.621200000000000,10.000000000000000,,,GA0510521-01,0.009173747507199
-1,1000100040000INC,44.064200000000000,44.996699999999997,12.000000000000000,,,GA0850236-01,0.014812837570733
-1,11791000038COINC,0.820100000000000,1.299900000000000,12.000000000000000,,,GA1790025-01,0.008113889467050
-1,1021200169400INC,0.000000000000000,0.118800000000000,10.000000000000000,,,GA0210632-01,0.002018723899172
-1,1000100014000INC,67.198800000000006,67.858500000000006,12.000000000000000,,,GA1210801-01,0.010751226099343
-1,1000100040400INC,58.018000000000001,65.222200000000001,12.000000000000000,,,GA1750256-01,0.121030394263872
-1,1000100000700INC,71.104799999999997,71.672799999999995,12.000000000000000,,,GA2770127-01,0.009467776552008
-1,11211000014COINC,0.000000000000000,0.938800000000000,12.000000000000000,,,GA1215168-01,0.016218571675232
-1,1000100000100INC,319.968000000000018,321.271900000000016,12.000000000000000,,,GA0550032-01,0.020018619391114
-1,1089200516000INC,2.291100000000000,3.317000000000000,10.000000000000000,,,GA0893694-01,0.017614109085515
-1,1131200056701INC,0.537400000000000,1.160800000000000,10.000000000000000,,,GA1310367-01,0.009178344575680
-1,1047200033300INC,0.000000000000000,0.807200000000000,10.000000000000000,,,GA0470285-01,0.013701262204731
-1,1000100017700INC,26.911500000000000,26.984700000000000,12.000000000000000,,,GA2990134-01,0.001088868403194
-1,1139200078007INC,1.565700000000000,1.823500000000000,10.000000000000000,,,GA1390678-01,0.003965952499035
-1,1000100042200INC,0.481300000000000,0.779400000000000,12.000000000000000,,,GA2190256-01,0.004491482165942
-1,1215200117500INC,0.147600000000000,0.497400000000000,10.000000000000000,,,GA2150494-02,0.005082776421422
-1,10001000015ALINC,9.050700000000001,10.413900000000000,12.000000000000000,,,GA1570226-01,0.023280826662787
-1,1097200081800INC,0.000000000000000,1.135100000000000,10.000000000000000,,,GA0974163-01,0.018801329722753
-1,1000100002100INC,7.393500000000000,7.660600000000000,14.000000000000000,,,GA0510123-01,0.004324647043017
-1,1067200440400INC,6.672300000000000,6.753500000000000,11.000000000000000,,,GA0670934-01,0.001277652369407
-1,1000100003400INC,34.927000000000000,35.575600000000001,12.000000000000000,,,GA0770247-01,0.011125550688865
-1,1059200048100INC,1.485000000000000,1.534800000000000,10.000000000000000,,,GA0590516-01,0.000860970383946
-1,1185200100613INC,1.100400000000000,1.250500000000000,10.000000000000000,,,GA1850568-01,0.002524381986573
