OID,RouteId,BeginPoint,EndPoint,SHOULDER_WIDTH_RVn,SHOULDER_WIDTH_RVt,SHOULDER_WIDTH_RVd,SHOULDER_WIDTH_RComments,Shape_Length
-1,1000100000100INC,20.401000000000000,20.409099999999999,12.000000000000000,,,GA0870123-01,0.000118363404090
-1,1000100002700INC,257.354399999999998,258.245999999999981,1.000000000000000,,,GA1270232-01,0.013590323186646
-1,1000100001700INC,171.782100000000014,171.862300000000005,4.000000000000000,,,GA3170132-01,0.001201182097774
-1,1000100000300INC,329.182200000000023,329.913900000000012,3.000000000000000,,,GA3130617-01,0.011789986205236
-1,1000100000200INC,158.792499999999990,158.990600000000001,9.000000000000000,,,GA2410016-01,0.003007236759223
-1,1000100005300INC,114.454400000000007,115.123300000000000,7.000000000000000,,,GA1390265-02,0.010303490866137
-1,1000100001700INC,4.543400000000000,4.606400000000000,5.000000000000000,,,GA0510111-01,0.001074812523362
-1,1000100001000INC,37.609600000000000,38.042900000000003,10.000000000000000,,,GA2970014-01,0.006930927086314
-1,1000100004100INC,102.023099999999999,102.156000000000006,3.000000000000000,,,GA1990116-01,0.002062278964051
-1,1000100002100INC,18.527600000000000,18.765699999999999,8.000000000000000,,,GA1030128-01,0.003595838748415
-1,1000100003000INC,54.326200000000000,54.366700000000002,2.000000000000000,,,GA0810068-02,0.000685271657202
-1,1000100002000INC,108.570599999999999,108.576499999999996,1.000000000000000,,,GA1350134-01,0.000085642628506
-1,1000100002500INC,44.958399999999997,45.160600000000002,1.000000000000000,,,GA1270118-01,0.002936948331542
-1,1000100001700INC,209.140400000000000,209.145800000000008,2.000000000000000,,,GA1470147-01,0.000088272014747
-1,1000100007200INC,22.789500000000000,23.111999999999998,9.000000000000000,,,GA1050178-01,0.005584417171294
-1,1000100006000INC,12.954800000000001,13.087500000000000,10.000000000000000,,,GA1390307-01,0.001980795521566
-1,1000100000300INC,342.557900000000018,342.687900000000013,3.000000000000000,,,GA0470045-01,0.001941155992162
-1,1000100000300INC,126.573700000000002,126.664199999999994,7.000000000000000,,,GA2490121-01,0.001325549505495
-1,1000100002600INC,268.586500000000001,268.778200000000027,4.000000000000000,,,GA0510294-01,0.003262999252880
-1,1000100001700INC,168.999799999999993,169.029400000000010,4.000000000000000,,,GA3170132-01,0.000455984097272
