OID,RouteId,BeginPoint,EndPoint,MEDIAN_WIDTHVn,MEDIAN_WIDTHVt,MEDIAN_WIDTHVd,MEDIAN_WIDTHComments,Shape_Length
-1,1000100014100INC,15.630000000000001,15.679399999999999,25.000000000000000,,,GA1210356-02,0.000811444199992
-1,1000100010400INC,3.137200000000000,3.815600000000000,4.000000000000000,,,GA2450933-01,0.010958453600725
-1,1000100000300INC,106.664299999999997,107.015000000000001,45.000000000000000,,,GA2610005-01,0.005091921370202
-1,1000100001000INC,41.789900000000003,41.793999999999997,38.000000000000000,,,GA2970001-01,0.000071269351939
-1,1000100052000INC,79.195099999999996,79.242999999999995,40.000000000000000,,,GA0950054-01,0.000797011284156
-1,1000100000100INC,110.124700000000004,110.186499999999995,35.000000000000000,,,GA2590103-01,0.000930686442420
-1,1000100041900INC,45.425100000000000,45.580199999999998,40.000000000000000,,,GA1370246-01,0.002334685441772
-1,1000100036900INC,35.291499999999999,35.291600000000003,19.000000000000000,,,GA1390420-01,0.000001723537047
-1,1000100006000INC,18.913000000000000,19.019800000000000,15.000000000000000,,,GA1390316-01,0.001659486777663
-1,1000100040300INC,177.556199999999990,177.939099999999996,99.000000000000000,,,GA1470287-01,0.006619565824923
-1,1000100014100INC,27.316600000000001,27.579300000000000,12.000000000000000,,,GA1170043-01,0.003829471197994
-1,1000100002100INC,26.462000000000000,26.478999999999999,30.000000000000000,,,GA1030137-02,0.000275972602595
-1,1000100003800INC,231.492600000000010,231.503299999999996,20.000000000000000,,,GA1830114-01,0.000174594975196
-1,1000100040200INC,147.221100000000007,147.726499999999987,55.000000000000000,,,GA2650161-01,0.008754789027825
-1,1000100040100INC,102.036699999999996,102.279200000000003,4.000000000000000,,,GA0810112-02,0.003531775566889
-1,1000100001700INC,8.539300000000001,8.579400000000000,25.000000000000000,,,GA0510111-02,0.000582318044293
-1,1051200169207INC,0.455500000000000,1.214300000000000,99.000000000000000,,,GA0510106-01,0.012883022712069
-1,1000100054000INC,193.989399999999989,194.077499999999986,40.000000000000000,,,GA2450001-01,0.001323941641765
-1,1000100009200INC,94.423299999999998,94.433199999999999,40.000000000000000,,,GA0570084-01,0.000171335019697
-1,1000100001000INC,62.066899999999997,62.114899999999999,40.000000000000000,,,GA0590007-01,0.000811231848688
-1,1000100040200INC,8.465000000000000,8.682600000000001,99.000000000000000,,,GA1430129-01,0.003774989927650
