OID,RouteId,BeginPoint,EndPoint,STRAHNET_TYPEVn,STRAHNET_TYPEVt,STRAHNET_TYPEComments,STRAHNET_TYPEVd,Shape_Length
-1,1000100040200INC,0.000000000000000,201.530399999999986,1.000000000000000,,,,3.451037054750057
-1,1000100001000INC,160.795500000000004,163.496100000000013,2.000000000000000,,,,0.046044699125055
-1,1051100042100INC,0.000000000000000,2.641300000000000,1.000000000000000,,,,0.042306002493754
-1,1000100040100INC,164.588999999999999,312.079700000000003,1.000000000000000,,,,2.301050382828258
-1,1000100003800INC,178.377999999999986,221.002199999999988,1.000000000000000,,,,0.671496112751898
-1,1000100003900INC,43.952800000000003,44.189999999999998,1.000000000000000,,,,0.003587166660455
-1,1245100041500INC,0.000000000000000,15.396200000000000,1.000000000000000,,,,0.243748944967034
-1,1000100009600INC,51.268799999999999,55.524799999999999,1.000000000000000,,,,0.071982928730307
-1,10311000067BYINC,2.333900000000000,7.244800000000000,1.000000000000000,,,,0.074135129550879
-1,1051200114200INC,0.000000000000000,0.384900000000000,2.000000000000000,,,,0.006164343173095
-1,1000100009600INC,42.592100000000002,51.268799999999999,1.000000000000000,,,,0.147666181072498
-1,1000100006200INC,27.262599999999999,40.175500000000000,1.000000000000000,,,,0.216746905601313
-1,10831000406COINC,0.000000000000000,0.850200000000000,1.000000000000000,,,,0.012844321183921
-1,1000100003700INC,35.312100000000001,35.511499999999998,1.000000000000000,,,,0.002993999434971
-1,1000100040700INC,41.645299999999999,42.016199999999998,1.000000000000000,,,,0.005392288864988
-1,1000100008500INC,4.894900000000000,10.265800000000000,1.000000000000000,,,,0.088501106854850
-1,1051100042100INC,2.641300000000000,6.425500000000000,1.000000000000000,,,,0.057642867394570
-1,1000100020400INC,19.497100000000000,26.010899999999999,2.000000000000000,,,,0.109627994541451
-1,1000100002200INC,0.000000000000000,3.803400000000000,1.000000000000000,,,,0.060052781013286
-1,1000100041300INC,10.044700000000001,11.104400000000000,1.000000000000000,,,,0.017079769431290
-1,1000100040500INC,0.000000000000000,111.816000000000003,1.000000000000000,,,,1.665676550332297
-1,1000100041900INC,0.000000000000000,23.998400000000000,1.000000000000000,,,,0.375575998244506
-1,1000100040300INC,0.000000000000000,77.034300000000002,1.000000000000000,,,,1.207252469998572
-1,1000100002600INC,0.000000000000000,84.896799999999999,1.000000000000000,,,,1.421314067574815
-1,12351000026WEINC,0.000000000000000,0.919500000000000,1.000000000000000,,,,0.015618326463149
-1,1000100023400INC,22.945599999999999,24.756699999999999,1.000000000000000,,,,0.026290713731835
-1,1000100006200INC,0.000000000000000,12.587300000000001,1.000000000000000,,,,0.202094787239764
-1,1000100006700INC,34.775599999999997,53.158400000000000,1.000000000000000,,,,0.276931821563451
-1,1245200151500INC,1.731600000000000,5.848000000000000,1.000000000000000,,,,0.065687108000637
-1,11791000038COINC,0.000000000000000,1.714100000000000,2.000000000000000,,,,0.028591938368281
-1,1000100014400INC,47.653300000000002,67.650800000000004,2.000000000000000,,,,0.330639397108757
-1,1000100004500INC,31.816400000000002,32.521700000000003,1.000000000000000,,,,0.010336853747958
-1,1051200279800INC,0.000000000000000,0.175600000000000,2.000000000000000,,,,0.002849825835634
-1,1000100012100INC,187.652800000000013,207.289800000000014,1.000000000000000,,,,0.288956938065009
-1,1095200163001INC,0.000000000000000,1.398500000000000,2.000000000000000,,,,0.020301853632370
-1,1000100040700INC,60.196399999999997,60.988900000000001,1.000000000000000,,,,0.013596155304427
-1,1000100006200INC,12.768000000000001,26.557300000000001,1.000000000000000,,,,0.227959532517602
-1,1051200074000INC,0.480000000000000,1.117900000000000,2.000000000000000,,,,0.010282105465604
-1,1000100040100INC,312.079700000000003,314.904999999999973,1.000000000000000,,,,0.041099689883536
-1,1000100006700INC,3.307100000000000,13.407299999999999,2.000000000000000,,,,0.155505999662323
-1,1245200151500INC,0.000000000000000,1.731600000000000,1.000000000000000,,,,0.029519888504318
-1,1000100002600INC,85.153099999999995,112.433999999999997,1.000000000000000,,,,0.435468026872669
-1,1095200054000INC,2.781700000000000,3.541600000000000,2.000000000000000,,,,0.011180988819153
-1,1000100024700INC,35.828699999999998,37.110100000000003,2.000000000000000,,,,0.019233146249931
-1,1000100000300INC,69.442899999999995,70.016400000000004,1.000000000000000,,,,0.008333465255637
-1,1000100041700INC,17.332400000000000,17.383700000000001,1.000000000000000,,,,0.000821825576451
-1,1051100042100INC,6.425500000000000,6.680400000000000,1.000000000000000,,,,0.004115931644177
-1,1000100040300INC,84.434600000000003,179.151499999999999,1.000000000000000,,,,1.574546240889477
-1,1000100001100INC,173.834499999999991,176.788700000000006,2.000000000000000,,,,0.043444984945060
