OID,RouteId,BeginPoint,EndPoint,NHSVn,NHSVt,NHSComments,NHSVd,Shape_Length
-1,1000100008500INC,0.000000000000000,4.894900000000000,1.000000000000000,4 - Non-Int. NHS (mainline),,,0.077587928239951
-1,1121200200103INC,0.115700000000000,0.310600000000000,7.000000000000000,5 - NHS Connector,,,0.003386174870563
-1,1000100000500INC,68.776899999999998,71.023799999999994,1.000000000000000,4 - Non-Int. NHS (mainline),,,0.036920740397058
-1,1121200700023INC,0.037700000000000,3.060300000000000,1.000000000000000,4 - Non-Int. NHS (mainline),,,0.051192604925634
-1,1000100002000INC,157.629300000000001,165.619699999999995,1.000000000000000,4 - Non-Int. NHS (mainline),,,0.131907085705736
-1,1073100038800INC,0.000000000000000,0.844000000000000,1.000000000000000,4 - Non-Int. NHS (mainline),,,0.014334315161522
-1,1000100023400INC,22.646699999999999,22.945599999999999,1.000000000000000,4 - Non-Int. NHS (mainline),,,0.004338770477052
-1,1115100074600INC,0.579300000000000,11.138500000000001,1.000000000000000,4 - Non-Int. NHS (mainline),,,0.167481872658264
-1,1000100006000INC,12.931600000000000,36.058000000000000,1.000000000000000,4 - Non-Int. NHS (mainline),,,0.359483792991134
-1,1000100000500INC,35.442100000000003,49.038400000000003,1.000000000000000,4 - Non-Int. NHS (mainline),,,0.213829112583377
-1,5095100000100INC,0.000000000000000,0.246700000000000,1.000000000000000,4 - Non-Int. NHS (mainline),,,0.004063890385645
-1,1051200205307INC,0.261700000000000,0.270300000000000,1.000000000000000,4 - Non-Int. NHS (mainline),,,0.000145069044463
-1,1121200052003INC,2.032100000000000,2.525600000000000,5.000000000000000,5 - NHS Connector,,,0.007402350164063
-1,1000100009700INC,22.179300000000001,22.596800000000002,1.000000000000000,4 - Non-Int. NHS (mainline),,,0.006181093326254
-1,1000100001400INC,79.008799999999994,79.167699999999996,7.000000000000000,5 - NHS Connector,,,0.002397345959979
-1,1000100004200INC,102.670500000000004,110.118700000000004,1.000000000000000,4 - Non-Int. NHS (mainline),,,0.108758974732143
-1,1000100041100DEC,0.000000000000000,50.604999999999997,1.000000000000000,1 - Interstate,,,0.756146713089031
-1,1051200077900INC,0.000000000000000,1.045300000000000,1.000000000000000,4 - Non-Int. NHS (mainline),,,0.016396546883850
-1,1153200091915INC,0.000000000000000,4.186300000000000,1.000000000000000,4 - Non-Int. NHS (mainline),,,0.070136332178410
-1,1121200011925INC,0.000000000000000,3.603400000000000,1.000000000000000,4 - Non-Int. NHS (mainline),,,0.057280864505423
-1,1000100009200INC,37.406300000000002,41.898699999999998,1.000000000000000,4 - Non-Int. NHS (mainline),,,0.072883595840411
-1,1000100000700INC,15.146500000000000,28.844899999999999,1.000000000000000,4 - Non-Int. NHS (mainline),,,0.215315136560733
-1,1000100002600INC,251.575700000000012,272.327099999999973,1.000000000000000,4 - Non-Int. NHS (mainline),,,0.343033916605582
-1,1089200200911INC,0.079700000000000,0.355600000000000,7.000000000000000,5 - NHS Connector,,,0.004064043941084
-1,12711000027WEINC,0.000000000000000,1.006000000000000,1.000000000000000,4 - Non-Int. NHS (mainline),,,0.016749430991568
-1,1000100024700INC,35.828699999999998,37.110100000000003,1.000000000000000,3 - STRAHNET Connector,,,0.019233146249931
-1,1000100005400INC,34.943700000000000,53.767800000000001,1.000000000000000,4 - Non-Int. NHS (mainline),,,0.309624479200234
-1,1000100002000INC,133.303599999999989,137.463300000000004,1.000000000000000,4 - Non-Int. NHS (mainline),,,0.065313852764193
-1,10691000031SOINC,0.000000000000000,2.643500000000000,1.000000000000000,4 - Non-Int. NHS (mainline),,,0.038395469486272
-1,1000100023400INC,22.138800000000000,22.646699999999999,8.000000000000000,5 - NHS Connector,,,0.008559126637535
-1,10001000017ALINC,9.187700000000000,9.437600000000000,1.000000000000000,4 - Non-Int. NHS (mainline),,,0.004252488830792
-1,11291000053SPINC,1.581300000000000,4.512000000000000,1.000000000000000,4 - Non-Int. NHS (mainline),,,0.045274563125538
-1,1000100052000INC,0.000000000000000,248.107599999999991,1.000000000000000,2 - Non-int. STRAHNET (mainline),,,4.047578930379422
-1,1000100003900INC,82.970500000000001,85.201400000000007,1.000000000000000,4 - Non-Int. NHS (mainline),,,0.035106030064974
-1,1215200222800INC,2.114400000000000,2.411900000000000,1.000000000000000,4 - Non-Int. NHS (mainline),,,0.004357055878116
-1,1051100042100INC,6.425500000000000,6.680400000000000,1.000000000000000,1 - Interstate,,,0.004115931644177
-1,12131000052ALINC,0.000000000000000,5.320800000000000,1.000000000000000,4 - Non-Int. NHS (mainline),,,0.090719451666386
-1,1000100012100INC,187.652800000000013,207.289800000000014,1.000000000000000,2 - Non-int. STRAHNET (mainline),,,0.288956938065009
-1,1000100001300INC,0.000000000000000,0.543000000000000,1.000000000000000,4 - Non-Int. NHS (mainline),,,0.008712867051873
-1,1000100002600INC,191.836299999999994,196.248999999999995,1.000000000000000,2 - Non-int. STRAHNET (mainline),,,0.069740156510147
-1,1089200002200INC,0.000000000000000,1.452400000000000,7.000000000000000,5 - NHS Connector,,,0.021268401994373
-1,1000100040800INC,0.000000000000000,15.923999999999999,1.000000000000000,1 - Interstate,,,0.239871667582846
-1,11531000011COINC,0.000000000000000,2.796800000000000,1.000000000000000,4 - Non-Int. NHS (mainline),,,0.045935415826812
-1,1000100007000INC,12.863899999999999,19.911000000000001,1.000000000000000,4 - Non-Int. NHS (mainline),,,0.119933701494555
-1,1121200068003INC,0.079000000000000,0.289800000000000,4.000000000000000,5 - NHS Connector,,,0.003063824479286
