Point: ,121-5083,,,,,
Location: ,"33.771624, -84.381887",,,,,
Road-Type: ,Principal Arterial,,,,,
Day: ,Tue,Wed,Thu,Mon,Tue,Wed
Date:,2022-08-30,2022-08-31,2022-09-01,2025-07-28,2025-07-29,2025-07-30
0:00:00 (V),,210,227,,135,162
1:00:00 (V),,148,179,,116,104
2:00:00 (V),,101,114,,56,78
3:00:00 (V),,59,95,,73,74
4:00:00 (V),,86,99,,73,76
5:00:00 (V),,132,145,,97,111
6:00:00 (V),,350,339,,257,269
7:00:00 (V),,761,691,,687,683
8:00:00 (V),,1137,1000,,1082,1004
9:00:00 (V),,941,849,709,952,
10:00:00 (V),,806,734,575,810,
11:00:00 (V),,791,790,609,742,
12:00:00 (V),,893,910,719,801,
13:00:00 (V),,857,917,755,806,
14:00:00 (V),,761,969,746,764,
15:00:00 (V),,1015,1138,910,938,
16:00:00 (V),,1208,1212,1126,1282,
17:00:00 (V),,1213,1347,1208,1516,
18:00:00 (V),,1141,1216,953,1122,
19:00:00(V),838,881,,679,685,
20:00:00 (V),639,680,,456,570,
21:00:00 (V),534,608,,385,426,
22:00:00 (V),485,426,,300,299,
23:00:00 (V),439,403,,218,227,
,,,,,,
12:00:00 (C),,0:204:6:0:0:0:0:0:0:0:0:0:0:0:0,1:216:10:0:0:0:0:0:0:0:0:0:0:0:0,,,
1:00:00 (C),,3:141:4:0:0:0:0:0:0:0:0:0:0:0:0,4:168:4:1:1:0:0:1:0:0:0:0:0:0:0,,,
2:00:00 (C),,1:96:4:0:0:0:0:0:0:0:0:0:0:0:0,3:107:4:0:0:0:0:0:0:0:0:0:0:0:0,,,
3:00:00 (C),,0:58:0:0:0:1:0:0:0:0:0:0:0:0:0,0:93:2:0:0:0:0:0:0:0:0:0:0:0:0,,,
4:00:00 (C),,4:77:4:0:0:0:0:1:0:0:0:0:0:0:0,2:93:4:0:0:0:0:0:0:0:0:0:0:0:0,,,
5:00:00 (C),,2:123:5:2:0:0:0:0:0:0:0:0:0:0:0,1:130:9:2:3:0:0:0:0:0:0:0:0:0:0,,,
6:00:00 (C),,1:316:21:4:7:1:0:0:0:0:0:0:0:0:0,0:316:19:1:2:1:0:0:0:0:0:0:0:0:0,,,
7:00:00 (C),,4:690:54:3:7:3:0:0:0:0:0:0:0:0:0,1:633:47:1:8:1:0:0:0:0:0:0:0:0:0,,,
8:00:00 (C),,4:1021:90:5:16:1:0:0:0:0:0:0:0:0:0,5:927:53:3:12:0:0:0:0:0:0:0:0:0:0,,,
9:00:00 (C),,1:839:74:3:18:2:2:2:0:0:0:0:0:0:0,1:762:68:1:15:1:0:0:1:0:0:0:0:0:0,,,
10:00:00 (C),,4:721:63:0:14:3:0:1:0:0:0:0:0:0:0,7:667:46:1:10:2:0:0:0:0:0:0:1:0:0,,,
11:00:00 (C),,2:712:59:5:11:1:1:0:0:0:0:0:0:0:0,3:707:65:1:11:3:0:0:0:0:0:0:0:0:0,,,
12:00:00 (C),,4:813:65:2:8:1:0:0:0:0:0:0:0:0:0,11:825:56:4:11:2:1:0:0:0:0:0:0:0:0,,,
13:00:00 (C),,3:789:52:0:11:1:1:0:0:0:0:0:0:0:0,8:841:63:1:1:2:0:0:1:0:0:0:0:0:0,,,
14:00:00 (C),,2:721:31:0:6:0:0:0:1:0:0:0:0:0:0,5:868:79:3:8:3:3:0:0:0:0:0:0:0:0,,,
15:00:00 (C),,10:927:61:0:15:0:2:0:0:0:0:0:0:0:0,2:1059:59:1:8:7:1:0:1:0:0:0:0:0:0,,,
16:00:00 (C),,3:1133:55:6:7:3:1:0:0:0:0:0:0:0:0,3:1141:59:2:4:2:0:0:0:0:0:0:1:0:0,,,
17:00:00 (C),,6:1149:45:1:5:5:1:0:0:0:0:0:1:0:0,9:1267:61:0:4:2:2:0:1:1:0:0:0:0:0,,,
18:00:00 (C),,4:1083:47:1:2:2:1:0:0:0:0:0:1:0:0,9:1157:46:0:1:0:3:0:0:0:0:0:0:0:0,,,
19:00:00(C),1:802:29:0:2:2:1:1:0:0:0:0:0:0:0,6:847:25:0:3:0:0:0:0:0:0:0:0:0:0,,,,
20:00:00 (C),5:616:16:1:1:0:0:0:0:0:0:0:0:0:0,6:642:30:0:2:0:0:0:0:0:0:0:0:0:0,,,,
21:00:00 (C),0:521:13:0:0:0:0:0:0:0:0:0:0:0:0,1:579:24:1:2:0:1:0:0:0:0:0:0:0:0,,,,
22:00:00 (C),2:471:8:0:1:2:0:1:0:0:0:0:0:0:0,4:412:8:0:2:0:0:0:0:0:0:0:0:0:0,,,,
23:00:00 (C),1:421:16:0:1:0:0:0:0:0:0:0:0:0:0,1:386:13:0:1:2:0:0:0:0:0:0:0:0:0,,,,
