Point: ,121-5078,,,,,
Location: ,"33.773138, -84.409977",,,,,
Road-Type: ,Principal Arterial,,,,,
Day: ,Tue,Wed,Thu,Tue,Wed,Thu
Date:,2023-09-12,2023-09-13,2023-09-14,2025-10-21,2025-10-22,2025-10-23
0:00:00 (V),,451,755,,363,476
1:00:00 (V),,289,499,,250,307
2:00:00 (V),,237,413,,208,239
3:00:00 (V),,194,614,,181,240
4:00:00 (V),,278,371,158,197,
5:00:00 (V),,577,534,426,453,
6:00:00 (V),,1204,1234,964,988,
7:00:00 (V),,1520,1641,1543,1706,
8:00:00 (V),,1642,1818,1209,1690,
9:00:00 (V),,1623,1805,1548,1564,
10:00:00 (V),,1481,1542,1352,1355,
11:00:00 (V),,1573,1527,1322,1366,
12:00:00 (V),,1605,1728,1421,1497,
13:00:00 (V),,1687,1575,1662,1537,
14:00:00 (V),,2015,2072,1619,1629,
15:00:00 (V),,2029,1816,1828,1840,
16:00:00 (V),,2296,1893,2012,2020,
17:00:00 (V),,2239,1984,2083,2079,
18:00:00 (V),,1960,1906,1782,2016,
19:00:00(V),,1619,1563,1282,1707,
20:00:00 (V),1216,1359,,990,1172,
21:00:00 (V),1046,994,,814,1019,
22:00:00 (V),991,982,,769,877,
23:00:00 (V),724,815,,550,644,
,,,,,,
12:00:00 (C),,2:425:20:1:1:2:0:0:0:0:0:0:0:0:0,6:716:29:1:2:0:0:0:1:0:0:0:0:0:0,,,
1:00:00 (C),,3:267:18:1:0:0:0:0:0:0:0:0:0:0:0,2:474:21:0:0:1:1:0:0:0:0:0:0:0:0,,,
2:00:00 (C),,0:224:8:0:1:4:0:0:0:0:0:0:0:0:0,1:395:15:1:0:0:0:0:1:0:0:0:0:0:0,,,
3:00:00 (C),,2:178:9:0:3:1:0:0:1:0:0:0:0:0:0,3:573:31:0:5:0:0:2:0:0:0:0:0:0:0,,,
4:00:00 (C),,5:255:15:0:3:0:0:0:0:0:0:0:0:0:0,2:330:28:1:5:4:0:0:1:0:0:0:0:0:0,,,
5:00:00 (C),,1:525:40:1:7:2:0:0:1:0:0:0:0:0:0,0:480:45:1:5:3:0:0:0:0:0:0:0:0:0,,,
6:00:00 (C),,3:1062:107:3:22:4:1:0:1:0:0:0:1:0:0,1:1075:122:2:27:2:3:1:1:0:0:0:0:0:0,,,
7:00:00 (C),,2:1396:88:3:20:7:0:3:0:0:1:0:0:0:0,6:1487:113:3:18:11:0:1:2:0:0:0:0:0:0,,,
8:00:00 (C),,7:1506:97:4:18:5:1:1:1:0:0:0:2:0:0,5:1631:130:5:27:5:4:5:5:1:0:0:0:0:0,,,
9:00:00 (C),,2:1457:114:5:28:9:1:2:3:1:0:0:1:0:0,8:1573:169:6:36:6:1:5:0:1:0:0:0:0:0,,,
10:00:00 (C),,5:1280:143:9:35:2:1:1:4:1:0:0:0:0:0,1:1321:165:10:39:2:0:3:1:0:0:0:0:0:0,,,
11:00:00 (C),,8:1396:120:8:31:3:0:2:3:0:0:0:2:0:0,5:1288:179:4:39:7:1:2:1:0:0:0:1:0:0,,,
12:00:00 (C),,5:1389:161:4:36:5:0:2:1:1:0:0:1:0:0,1:1530:143:8:33:9:1:2:1:0:0:0:0:0:0,,,
13:00:00 (C),,7:1457:172:5:31:4:1:7:2:0:0:0:1:0:0,4:1416:125:3:19:3:0:2:1:0:0:0:2:0:0,,,
14:00:00 (C),,6:1771:177:4:39:9:4:4:0:0:0:0:1:0:0,6:1881:138:4:31:8:0:3:0:1:0:0:0:0:0,,,
15:00:00 (C),,5:1852:124:4:34:6:2:2:0:0:0:0:0:0:0,6:1639:137:3:21:6:1:2:1:0:0:0:0:0:0,,,
16:00:00 (C),,11:2078:157:4:33:10:0:0:1:1:0:0:1:0:0,5:1760:101:5:13:5:3:0:1:0:0:0:0:0:0,,,
17:00:00 (C),,5:2072:123:4:17:5:1:7:2:0:0:0:3:0:0,4:1836:118:2:11:8:2:2:0:0:0:0:1:0:0,,,
18:00:00 (C),,8:1804:116:2:24:3:2:1:0:0:0:0:0:0:0,11:1785:87:1:16:2:3:0:0:1:0:0:0:0:0,,,
19:00:00(C),,11:1504:83:1:10:5:2:2:0:0:0:0:1:0:0,4:1444:90:3:14:5:0:2:0:0:0:0:1:0:0,,,
20:00:00 (C),5:1135:65:2:6:1:0:0:1:0:0:0:1:0:0,10:1265:69:3:7:2:2:0:1:0:0:0:0:0:0,,,,
21:00:00 (C),3:987:45:2:5:2:0:0:2:0:0:0:0:0:0,4:937:46:1:5:0:0:0:1:0:0:0:0:0:0,,,,
22:00:00 (C),7:910:65:0:5:1:0:3:0:0:0:0:0:0:0,9:933:28:1:9:1:0:0:0:1:0:0:0:0:0,,,,
23:00:00 (C),10:669:37:2:2:2:0:1:1:0:0:0:0:0:0,5:774:30:1:4:0:0:0:1:0:0:0:0:0:0,,,,
