,Unnamed: 0.1,Unnamed: 0,Point,RouteID,AvgMeasure,Road Classification,LANE_WIDTHVn,MEDIAN_TYPEVn,MEDIAN_WIDTHVn,SHOULDER_TYPEVn,THROUGH_LANESVn,SURFACE_TYPEVn
66,65,65,121-5006,1121200348103INC,0.075,Major Collector,10.0,1.0,,3.0,2.0,2.0
67,66,66,121-6238,1121200225603INC,1.095,Major Collector,,,,,4.0,
68,67,67,121-6244,1121200236803INC,1.495,Major Collector,,,,,2.0,
69,68,68,121-6253,1121200225603INC,1.095,Major Collector,,,,,4.0,
70,69,69,121-0147,1121200226003INC,1.64,Major Collector,,,,,3.0,
71,70,70,121-6328,1121200354103INC,1.41,Major Collector,,,,,2.0,
72,71,71,121-6240,1121200225603INC,1.095,Major Collector,,,,,4.0,
73,72,72,121-0145,1121200222703INC,0.57,Major Collector,,,,,2.0,
74,73,73,121-6234,1121200222603INC,0.785,Major Collector,,,,,2.0,
75,74,74,121-6186,1121200354103INC,1.41,Major Collector,,,,,2.0,
76,75,75,121-0143,1121200142803INC,0.565,Major Collector,,,,,2.0,
77,76,76,121-5610,1000100005400INC,70.245,Major Collector,,,,,4.0,
78,77,77,121-6232,1121200222603INC,0.785,Major Collector,,,,,2.0,
79,78,78,121-5609,1121200327903INC,0.515,Major Collector,,,,,3.0,
80,79,79,121-5680,1121200165103INC,3.35,Major Collector,,,,,3.0,
81,80,80,121-7245,1121200114903INC,0.79,Major Collector,,,,,2.0,
82,81,81,121-5682,1121200165103INC,2.975,Major Collector,,,,,4.0,2.0
83,82,82,121-6214,1121200197903INC,0.435,Major Collector,,,,,2.0,
84,83,83,121-6212,1121200197903INC,0.435,Major Collector,,,,,2.0,
85,84,84,121-5684,1121200165103INC,1.425,Major Collector,,,,,3.0,
86,85,85,121-5685,1121200165103INC,1.425,Major Collector,,,,,3.0,
87,86,86,121-6200,1121200163203INC,0.36,Major Collector,,,,,2.0,
88,87,87,121-5697,1121200307203INC,1.235,Major Collector,,,,,4.0,
89,88,88,121-0238,1121200611503INC,0.17,Major Collector,,,,,4.0,
90,89,89,121-6220,1121200200903INC,1.075,Local,,,,,2.0,
91,90,90,121-8473,1121200205203INC,0.19,Local,,,,,2.0,
92,91,91,121-8459,1121200189103INC,0.07,Local,,,,,2.0,
93,92,92,121-8485,1121200230703INC,0.085,Local,,,,,2.0,
94,93,93,121-7259,1121200344003INC,0.215,Local,,,,,2.0,
95,94,94,121-8441,1121200158903INC,0.325,Local,,,,,3.0,
96,95,95,121-6208,1121200179203INC,0.755,Local,,,,,2.0,
97,96,96,121-8463,1121200192103INC,0.39,Local,,,,,1.0,
98,97,97,121-8447,1121200167003INC,0.23,Local,,,,,2.0,
99,98,98,121-8861,1121200176703INC,0.04,Local,,,,,3.0,
100,99,99,121-8860,1121200170203INC,0.615,Local,,,,,2.0,
101,100,100,121-5080,1000100000800INC,68.61,Principal Arterial,11.0,1.0,,3.0,6.0,2.0
102,101,101,121-5081,11211000008WEINC,0.085,Principal Arterial,,,,,4.0,2.0
103,102,102,121-5083,1000100000800INC,68.61,Principal Arterial,11.0,1.0,,3.0,6.0,2.0
104,103,103,121-5084,1000100000800INC,68.61,Principal Arterial,11.0,1.0,,3.0,6.0,2.0
105,104,104,121-0471,1000100001000INC,1.03,Principal Arterial,,,,,4.0,2.0
106,105,105,121-5012,1000100000800INC,68.61,Principal Arterial,11.0,1.0,,3.0,6.0,2.0
107,106,106,121-5582,1121200226003INC,0.52,Principal Arterial,,,,,4.0,3.0
108,107,107,121-5581,1121200226003INC,0.52,Principal Arterial,,,,,4.0,3.0
109,108,108,121-5047,1000100000300INC,238.56,Principal Arterial,,,,,6.0,2.0
110,109,109,121-5049,1000100000300INC,238.56,Principal Arterial,,,,,6.0,2.0
111,110,110,121-5052,1000100000300INC,238.56,Principal Arterial,,,,,6.0,2.0
112,111,111,121-5054,1000100000300INC,238.56,Principal Arterial,,,,,6.0,2.0
113,112,112,121-5078,1000100000800INC,53.835,Principal Arterial,,,,,4.0,2.0
114,113,113,121-5056,1000100000300INC,238.56,Principal Arterial,,,,,6.0,2.0
