,Point,RouteID,AvgMeasure,Road Classification,LANE_WIDTHVn,MEDIAN_TYPEVn,MEDIAN_WIDTHVn,SHOULDER_TYPEVn
67,121-6244,1121200236803INC,1.495,Major Collector,,,,
68,121-6253,1121200225603INC,1.095,Major Collector,,,,
69,121-0147,1121200226003INC,1.64,Major Collector,,,,
70,121-6328,1121200354103INC,1.41,Major Collector,,,,
71,121-6240,1121200225603INC,1.095,Major Collector,,,,
72,121-0145,1121200222703INC,0.57,Major Collector,,,,
73,121-6234,1121200222603INC,0.785,Major Collector,,,,
74,121-6186,1121200354103INC,1.41,Major Collector,,,,
75,121-0143,1121200142803INC,0.565,Major Collector,,,,
76,121-5610,1000100005400INC,70.245,Major Collector,,,,
77,121-6232,1121200222603INC,0.785,Major Collector,,,,
78,121-5609,1121200327903INC,0.515,Major Collector,,,,
79,121-5680,1121200165103INC,3.35,Major Collector,,,,
80,121-7245,1121200114903INC,0.79,Major Collector,,,,
81,121-5682,1121200165103INC,2.975,Major Collector,,,,
82,121-6214,1121200197903INC,0.435,Major Collector,,,,
83,121-6212,1121200197903INC,0.435,Major Collector,,,,
84,121-5684,1121200165103INC,1.425,Major Collector,,,,
85,121-5685,1121200165103INC,1.425,Major Collector,,,,
86,121-6200,1121200163203INC,0.36,Major Collector,,,,
87,121-5697,1121200307203INC,1.235,Major Collector,,,,
88,121-0238,1121200611503INC,0.17,Major Collector,,,,
89,121-6220,1121200200903INC,1.075,Local,,,,
90,121-8473,1121200205203INC,0.19,Local,,,,
91,121-8459,1121200189103INC,0.07,Local,,,,
92,121-8485,1121200230703INC,0.085,Local,,,,
93,121-7259,1121200344003INC,0.215,Local,,,,
94,121-8441,1121200158903INC,0.325,Local,,,,
95,121-6208,1121200179203INC,0.755,Local,,,,
96,121-8463,1121200192103INC,0.39,Local,,,,
97,121-8447,1121200167003INC,0.23,Local,,,,
98,121-8861,1121200176703INC,0.04,Local,,,,
99,121-8860,1121200170203INC,0.615,Local,,,,
100,121-5080,1000100000800INC,68.61,Principal Arterial,11.0,1.0,,3.0
101,121-5081,11211000008WEINC,0.085,Principal Arterial,,,,
